Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2017,Anthony Pereira,DET,LEVEL,20,518,0.07722008,0.16216216,0.47619048,0.25106383,0.31456311,0.36170213,0.67626524,0.1106383,4.05282618,0.29210526,0.953500679,56.79176648,-4.199624884,0.312241996,93.11439731,sa826663
2018,Anthony Pereira,DET,LEVEL,21,168,0.0952381,0.19047619,0.5,0.19727891,0.27108434,0.28571429,0.55679863,0.08843538,2.687085666,0.23931624,-0.445867201,11.58084416,-7.776284042,0.262877818,59.8272845,sa826663
2017,Rene Pinto,TBR,LEVEL,20,293,0.05802048,0.13993174,0.41463415,0.28252788,0.32764505,0.37918216,0.70682721,0.09665428,3.755594428,0.32173913,0.190307647,34.46046277,-0.038528868,0.322540221,99.88831886,sa826668
2017,Anthony Jimenez,SEA,LEVEL,21,256,0.07421875,0.28515625,0.26027397,0.29824561,0.36220472,0.48245614,0.84466086,0.18421053,7.854947728,0.40666667,0.689723098,41.50714237,11.36467868,0.380029274,137.7032176,sa826672
2018,Greifer Andrade,SEA,LEVEL,21,146,0.00684932,0.32876712,0.02083333,0.22142857,0.24137931,0.32857143,0.56995074,0.10714286,2.274866774,0.31111111,-0.432746573,9.82107422,-7.001191956,0.260690773,58.3813983,sa826675
2017,Jose Antequera,PHI,LEVEL,21,109,0.04587156,0.17431193,0.26315789,0.19354839,0.26213592,0.21505376,0.47718968,0.02150537,1.42003108,0.24,-0.036638751,5.557975101,-6.934732703,0.232414206,44.48975505,sa826778
2018,Jose Antequera,PHI,LEVEL,22,186,0.09677419,0.17741935,0.54545455,0.26282051,0.33701657,0.3525641,0.68958067,0.08974359,2.791759251,0.30952381,-2.021201378,21.96227105,0.108945161,0.315010756,100.498529,sa826778
2018,Eugene Helder,SEA,LEVEL,22,418,0.08133971,0.15311005,0.53125,0.24,0.30528846,0.35733333,0.66262179,0.11733333,4.970759915,0.26948052,0.690967016,43.00357913,-5.158799374,0.30744116,89.28873628,sa826786
2014,Bobby Boyd,HOU,LEVEL,21,82,0.08536585,0.18292683,0.46666667,0.21917808,0.2875,0.24657534,0.53407534,0.02739726,7.863278298,0.27586207,0.772330224,5.628901922,-3.919915951,0.257918359,58.94867823,sa827122
2015,Bobby Boyd,HOU,LEVEL,22,511,0.08806262,0.20156556,0.4368932,0.28251121,0.34738956,0.3632287,0.71061826,0.08071749,7.868592728,0.36023055,3.161514504,62.34668851,5.20717999,0.334394936,109.113099,sa827122
2015,Jeff Gardner,WSN,LEVEL,23,453,0.08388521,0.1986755,0.42222222,0.22580645,0.29646018,0.34491315,0.64137333,0.1191067,5.092481724,0.27388535,-1.515103905,44.62689405,-8.73605248,0.298842358,83.62899156,sa827127
2016,Jeff Gardner,WSN,LEVEL,24,28,0.10714286,0.28571429,0.375,0.2,0.28571429,0.6,0.88571429,0.4,0.767857143,0.14285714,-0.00212276,4.666847478,1.495119553,0.388737138,147.1389598,sa827127
2015,Pat Kelly,MIN,LEVEL,22,367,0.0599455,0.21253406,0.28205128,0.22018349,0.27777778,0.31192661,0.58970439,0.09174312,4.815230402,0.2749004,-1.047062852,29.55730954,-11.48026312,0.278167395,72.02499472,sa827129
2016,Mark Laird,PHI,LEVEL,23,139,0.1294964,0.10071942,1.28571429,0.35344828,0.44525547,0.43103448,0.87628995,0.0775862,4.479385877,0.39215686,0.575564754,25.04865171,9.303288079,0.4066164,159.085889,sa827130
2016,Mike Martin,OAK,LEVEL,23,142,0.09859155,0.15492958,0.63636364,0.29752066,0.37226277,0.34710744,0.71937021,0.04958678,4.485454417,0.35353535,0.646215921,18.221775,2.787653074,0.343263262,118.061624,sa827131
2017,Mike Martin,OAK,LEVEL,24,298,0.0738255,0.13758389,0.53658537,0.30038023,0.36177474,0.38022814,0.74200288,0.07984791,7.060880561,0.34821429,3.148033372,39.70962131,4.62190968,0.342735749,113.1724455,sa827131
2016,Vinny Siena,NYM,LEVEL,22,288,0.17708333,0.22916667,0.77272727,0.29147982,0.43508772,0.39910314,0.83419086,0.10762332,7.642895871,0.40625,1.149030262,48.6179275,15.99444026,0.391563263,149.0273776,sa827132
2017,Vinny Siena,NYM,LEVEL,23,80,0.0625,0.375,0.16666667,0.19444444,0.275,0.29166667,0.56666667,0.09722223,6.752825671,0.33333333,0.175085652,6.211203835,-2.957756021,0.267621863,67.74164063,sa827132
2015,David Armendariz,CLE,LEVEL,23,242,0.07438017,0.21487603,0.34615385,0.2037037,0.27615063,0.26851852,0.54466915,0.06481482,3.872949148,0.26219512,-0.617419046,16.92039954,-10.13979823,0.263770561,62.52873568,sa827133
2016,David Armendariz,CLE,LEVEL,24,217,0.01843318,0.26728111,0.06896552,0.23809524,0.25925926,0.36666667,0.62592593,0.12857143,2.860994393,0.31543624,0.008384076,18.95554888,-4.630398,0.286833785,80.36797919,sa827133
2015,Austin Bailey,KCR,LEVEL,22,124,0.08064516,0.10483871,0.76923077,0.31818182,0.38709677,0.52727273,0.9143695,0.20909091,6.271634515,0.33684211,-0.300370311,23.04184756,8.434771687,0.41313539,157.7444231,sa827134
