Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2018,Troy Montgomery,DET,LEVEL,23,160,0.15625,0.16875,0.92592593,0.33587786,0.43396226,0.42748092,0.86144318,0.09160306,2.667830599,0.40566038,-1.03998624,27.96007806,9.635438261,0.401370754,152.5818699,sa918108
2017,Chris DeVito,KCR,LEVEL,22,414,0.05555556,0.21980676,0.25274725,0.24031008,0.28743961,0.38242894,0.66986855,0.14211886,2.168800518,0.28919861,-0.018915708,41.34129743,-6.347362301,0.302126512,86.68999645,sa918117
2018,Chris DeVito,KCR,LEVEL,23,255,0.11372549,0.2627451,0.43283582,0.18099548,0.27952756,0.22624434,0.5057719,0.04524886,1.448004205,0.2516129,0.059879484,15.04263159,-14.55572818,0.251612818,50.82251755,sa918117
2017,Tyler Neslony,ATL,LEVEL,23,241,0.09128631,0.17842324,0.51162791,0.30875576,0.37759336,0.44239631,0.81998967,0.13364055,2.226492786,0.37058824,-1.512286607,36.7014995,11.02608266,0.381089579,142.9441233,sa918131
2016,Trey York,MIL,LEVEL,22,25,0.16,0.08,2,0.33333333,0.44,0.57142857,1.01142857,0.23809524,6.9561688,0.36842105,-0.192105769,5.22856225,2.505137182,0.457796397,191.9848029,sa918139
2017,Matt McLean,BOS,LEVEL,23,8,0.125,0.25,0.5,0.33333333,0.5,0.66666667,1.16666667,0.33333334,1.601190455,0.5,-0.000450374,2.080346994,1.158826999,0.50984662,225.7516935,sa918148
2018,Tommy Eveld,ARI,LEVEL,24,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,-100,sa918150
2017,Mitchell Kranson,MIN,LEVEL,23,239,0.08368201,0.13389121,0.625,0.25352113,0.31932773,0.34741784,0.66674557,0.09389671,1.79285757,0.27777778,-0.383158961,24.33370801,-1.128634836,0.311782627,95.56743524,sa918156
2018,Mitchell Kranson,MIN,LEVEL,24,81,0.0617284,0.07407407,0.83333333,0.24,0.2875,0.30666667,0.59416667,0.06666667,1.42003108,0.26086957,-0.010434294,6.69969546,-2.577153437,0.279224104,72.21951693,sa918156
2017,Michael Barash,LAA,LEVEL,22,367,0.11716621,0.20708447,0.56578947,0.23676012,0.32786885,0.3894081,0.71727695,0.15264798,1.410058955,0.27966102,-0.111178343,44.92749241,-1.885558184,0.324405416,95.97215272,sa918163
