Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2012,Johermyn Chavez,SEA,LEVEL,23,288,0.12152778,0.21527778,0.56451613,0.23170732,0.33916084,0.38617886,0.7253397,0.15447154,3.469765303,0.27840909,-1.336890019,34.9446988,2.412217846,0.34240608,107.4147983,sa328855
2013,Johermyn Chavez,CHC,LEVEL,24,72,0.09722222,0.23611111,0.41176471,0.20634921,0.30555556,0.26984127,0.57539683,0.06349206,1.705357143,0.2826087,-0.06247109,5.340616296,-2.338255753,0.273696476,69.54948932,sa328855
2009,Ian Paxton,TBR,LEVEL,25,42,0.02380952,0.30952381,0.07692308,0.12195122,0.14285714,0.12195122,0.26480836,0,2.642857143,0.17857143,-0.002179512,-1.670425125,-6.489253186,0.127791356,-34.66455129,sa328859
2010,Ian Paxton,TBR,LEVEL,26,8,0,0.375,0,0.28571429,0.28571429,0.57142857,0.85714286,0.28571428,0.142857143,0.5,0,1.202546772,0.247706768,0.373497146,125.9422276,sa328859
2009,Sam Carter,SDP,LEVEL,26,66,0.15151515,0.3030303,0.5,0.16071429,0.28787879,0.26785714,0.55573593,0.10714285,0.253151268,0.20588235,-0.012786023,4.795354275,-3.394651684,0.274038825,58.55129165,sa328904
2010,Jose De Los Santos,PIT,LEVEL,25,171,0.02923977,0.20467836,0.14285714,0.2,0.22981366,0.22666667,0.45648033,0.02666667,5.796511105,0.25210084,0.513433977,4.151700783,-16.72209842,0.208375302,19.88953109,sa328907
2010,Alex Castillo,CLE,LEVEL,24,27,0.07407407,0.2962963,0.25,0.08333333,0.15384615,0.16666667,0.32051282,0.08333334,2.642857143,0.125,-0.000470318,-0.511441141,-3.807304174,0.154644847,-15.51766977,sa328910
2011,Chih-Hsien Chiang,SEA,LEVEL,23,141,0.04255319,0.21276596,0.2,0.20769231,0.25531915,0.26153846,0.51685761,0.05384615,2.671487278,0.26470588,-0.599975443,6.535415303,-10.70973023,0.242028206,37.89713046,sa328920
2012,Chih-Hsien Chiang,SEA,LEVEL,24,311,0.05466238,0.18327974,0.29824561,0.25172414,0.28938907,0.3862069,0.67559597,0.13448276,4.380451287,0.29310345,-0.310490845,28.85147015,-6.27909088,0.304814968,82.12641445,sa328920
2014,Chih-Hsien Chiang,BAL,LEVEL,26,217,0.05529954,0.12903226,0.42857143,0.21890547,0.26388889,0.33333333,0.59722222,0.11442786,2.944409439,0.23837209,-0.465872993,15.60437258,-9.794609109,0.268394481,61.43700079,sa328920
2013,Chih-Hsien Chiang,TEX,LEVEL,25,507,0.04536489,0.17357002,0.26136364,0.26260504,0.29761905,0.41596639,0.71358544,0.15336135,2.764963952,0.3,-0.543138343,56.196475,-1.542207821,0.313429086,97.32898683,sa328920
2010,Chih-Hsien Chiang,BOS,LEVEL,22,478,0.06485356,0.13389121,0.484375,0.26027397,0.31236897,0.42009132,0.73246029,0.15981735,3.287853433,0.28065395,0.376248948,57.07207469,-1.276907879,0.326622106,97.81160215,sa328920
2011,Chih-Hsien Chiang,BOS,LEVEL,23,358,0.0698324,0.17039106,0.40983607,0.33956386,0.40223464,0.64797508,1.05020972,0.30841122,6.434129947,0.37295082,0.300656019,78.99462319,36.18068592,0.454135112,184.5067944,sa328920
2013,Kelvin De La Cruz,LAD,LEVEL,24,1,0,0,0,0,0,0,0,0,0.142857143,0,0,-0.126810601,-0.233461601,0,-100,sa328950
2009,Edgar Osuna,ATL,LEVEL,21,10,0,0.2,0,0.33333333,0.33333333,0.5,0.83333333,0.16666667,0.142857143,0.5,-0.000363252,1.496098658,0.348758643,0.374546498,130.3971481,sa328973
