Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2010,David Eckstein,SDP,LEVEL,35,3,9,12,3,2,1,0,0,1,3,2,0,0,1,0,0,0,0,0,0.33333333,10
2009,Aramis Ramirez,CHC,LEVEL,31,3,6,9,3,2,1,0,0,2,1,3,0,0,0,0,0,1,0,0,0.5,1002
2010,Aramis Ramirez,CHC,LEVEL,32,2,6,8,1,1,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0.16666667,1002
2014,Aramis Ramirez,MIL,LEVEL,36,2,6,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.33333333,1002
2010,Christian Bethancourt,ATL,LEVEL,18,108,399,420,100,76,19,2,3,31,34,14,1,62,2,5,0,6,11,3,0.25062657,10028
2011,Christian Bethancourt,ATL,LEVEL,19,54,221,235,67,50,10,3,4,25,33,8,0,27,1,5,0,4,6,3,0.30316742,10028
2010,Chris Owings,ARI,LEVEL,18,62,255,271,76,50,19,2,5,39,28,9,0,50,2,3,2,7,1,3,0.29803922,10030
2008,Pokey Reese,WSN,LEVEL,35,5,16,18,4,3,0,0,1,4,1,2,0,1,0,0,0,0,0,0,0.25,1004
2010,Wil Myers,KCR,LEVEL,19,68,242,294,70,40,19,1,10,42,45,48,0,55,2,2,0,4,10,3,0.2892562,10047
2010,Max Stassi,OAK,LEVEL,19,110,411,465,94,59,21,1,13,54,51,45,1,141,5,3,1,12,3,3,0.22871046,10059
2011,Tomas Telis,TEX,LEVEL,20,115,461,494,137,98,28,0,11,67,69,18,0,35,6,4,5,17,12,6,0.29718004,10067
2010,Jonathan Villar,PHI,LEVEL,19,100,371,420,101,77,18,4,2,61,36,26,1,103,8,2,13,5,38,13,0.2722372,10071
2017,Jonathan Villar,MIL,LEVEL,26,4,13,15,8,6,1,1,0,2,6,1,0,3,0,1,0,0,0,1,0.61538462,10071
2011,Donald Lutz,CIN,LEVEL,22,123,465,506,140,94,23,3,20,85,75,34,4,125,7,0,0,8,5,4,0.30107527,10154
2009,Mike Trout,LAA,LEVEL,17,5,15,20,4,4,0,0,0,1,0,4,0,6,0,0,1,0,0,0,0.26666667,10155
2010,Mike Trout,LAA,LEVEL,18,81,312,368,113,81,19,7,6,76,39,46,2,52,7,1,2,1,45,9,0.36217949,10155
2010,Nick Franklin,SEA,LEVEL,19,129,513,574,144,92,22,7,23,89,65,50,4,123,7,2,2,4,25,10,0.28070175,10166
2011,Billy Hamilton,CIN,LEVEL,20,135,550,610,153,123,18,9,3,99,50,52,0,133,1,3,4,5,103,20,0.27818182,10199
2011,Tucker Barnhart,CIN,LEVEL,20,97,326,372,89,60,24,2,3,47,43,37,0,59,1,5,3,9,2,1,0.27300613,10200
2010,Randal Grichuk,LAA,LEVEL,18,52,202,214,59,29,19,4,7,41,36,9,0,50,2,1,0,2,4,0,0.29207921,10243
2011,Randal Grichuk,LAA,LEVEL,19,32,122,131,28,15,7,4,2,12,13,6,0,29,1,2,0,1,0,1,0.2295082,10243
2010,Francisco Arcia,NYY,LEVEL,20,17,51,58,16,12,4,0,0,2,3,7,0,8,0,0,0,3,1,0,0.31372549,10286
2011,Francisco Arcia,NYY,LEVEL,21,3,7,9,3,2,1,0,0,1,2,2,0,2,0,0,0,0,0,0,0.42857143,10286
2012,Francisco Arcia,NYY,LEVEL,22,68,224,256,55,35,14,1,5,28,46,21,0,45,5,4,2,5,2,3,0.24553571,10286
2010,Hector Sanchez,SFG,LEVEL,20,89,310,341,85,59,20,1,5,29,31,28,2,50,1,0,2,14,0,2,0.27419355,10289
2010,Adrian Nieto,WSN,LEVEL,20,60,174,203,34,28,4,0,2,23,14,23,0,44,1,1,4,4,1,0,0.1954023,10294
2011,Adrian Nieto,WSN,LEVEL,21,27,98,107,25,13,8,1,3,17,12,9,0,31,0,0,0,2,0,0,0.25510204,10294
2012,Adrian Nieto,WSN,LEVEL,22,70,257,299,66,43,17,0,6,32,39,35,0,64,2,4,1,8,4,2,0.25680934,10294
2010,Eury Perez,WSN,LEVEL,20,131,438,491,131,106,17,5,3,88,42,23,0,74,8,1,21,11,64,13,0.29908676,10299
2011,Oswaldo Arcia,MIN,LEVEL,20,20,71,81,25,11,8,1,5,18,18,9,0,16,0,1,0,1,2,2,0.35211268,10306
2011,Danny Ortiz,MIN,LEVEL,21,129,468,514,112,65,33,4,10,58,71,37,2,96,2,6,1,7,7,5,0.23931624,10317
2012,Danny Ortiz,MIN,LEVEL,22,22,87,94,26,20,4,0,2,8,13,4,0,15,1,0,2,2,3,4,0.29885057,10317
2010,Danny Santana,MIN,LEVEL,19,40,130,144,31,24,4,3,0,14,11,7,0,40,3,2,2,2,10,4,0.23846154,10322
2011,Danny Santana,MIN,LEVEL,20,104,365,409,90,63,15,5,7,55,41,25,0,98,4,5,10,6,24,15,0.24657534,10322
2011,Rafael Ortega,COL,LEVEL,20,113,479,519,141,98,26,8,9,77,66,28,1,90,3,4,5,5,32,19,0.29436326,10323
2010,Marcell Ozuna,FLA,LEVEL,19,6,25,27,4,3,0,0,1,3,2,2,0,10,0,0,0,0,0,0,0.16,10324
2011,Marcell Ozuna,FLA,LEVEL,20,131,496,552,132,76,28,5,23,87,71,46,2,121,2,2,6,7,17,2,0.26612903,10324
2010,Ramon Cabrera,PIT,LEVEL,20,90,342,372,92,73,14,4,1,49,40,22,0,42,1,4,3,10,3,4,0.26900585,10327
2010,Rey Fuentes,BOS,LEVEL,19,104,374,414,101,76,15,5,5,59,41,25,1,87,8,2,5,3,42,5,0.27005348,10329
2010,Slade Heathcott,NYY,LEVEL,19,76,298,351,77,56,16,3,2,48,30,42,1,101,6,2,3,3,15,10,0.25838926,10336
2011,Slade Heathcott,NYY,LEVEL,20,52,210,237,57,38,11,4,4,36,16,19,0,57,4,1,3,1,6,7,0.27142857,10336
2015,Slade Heathcott,NYY,LEVEL,24,3,9,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22222222,10336
2010,Scooter Gennett,MIL,LEVEL,20,118,482,526,149,97,39,4,9,87,55,31,2,91,5,4,3,6,14,4,0.30912863,10339
2015,Scooter Gennett,MIL,LEVEL,25,4,13,15,4,2,2,0,0,1,1,1,0,0,0,1,0,1,1,0,0.30769231,10339
2011,Gift Ngoepe,PIT,LEVEL,21,25,85,93,26,18,5,1,2,14,5,7,0,14,0,0,1,1,3,3,0.30588235,10340
2010,John Ryan Murphy,NYY,LEVEL,19,87,330,374,84,60,15,2,7,46,54,36,0,64,2,5,1,8,4,5,0.25454545,10346
2011,John Ryan Murphy,NYY,LEVEL,20,63,256,277,76,47,23,0,6,31,32,19,1,38,0,2,0,7,2,0,0.296875,10346
2010,Mike Ohlman,BAL,LEVEL,19,34,109,132,19,11,6,0,2,14,17,16,0,34,2,3,2,4,1,0,0.17431193,10347
2011,Mike Ohlman,BAL,LEVEL,20,105,375,431,84,63,15,2,4,38,51,48,0,96,6,2,0,12,1,2,0.224,10347
2012,Mike Ohlman,BAL,LEVEL,21,51,171,209,52,32,16,2,2,27,28,33,0,27,1,4,0,4,0,1,0.30409357,10347
2010,Domingo Santana,PHI,LEVEL,17,49,165,202,30,17,10,0,3,27,16,29,0,76,6,2,0,2,5,6,0.18181818,10348
2011,Domingo Santana,PHI,LEVEL,18,96,350,391,94,54,29,4,7,45,32,26,3,120,15,0,0,3,4,1,0.26857143,10348
2011,Domingo Santana,HOU,LEVEL,18,17,68,76,26,17,4,0,5,13,21,6,0,15,2,0,0,2,1,0,0.38235294,10348
2016,Domingo Santana,MIL,LEVEL,23,8,23,28,4,3,0,0,1,4,3,4,0,5,1,0,0,0,0,0,0.17391304,10348
2010,Tommy Joseph,SFG,LEVEL,18,117,436,473,103,64,22,1,16,46,68,26,2,116,8,3,0,9,0,0,0.23623853,10349
2016,Daniel Fields,LAD,LEVEL,25,5,18,19,4,3,0,0,1,2,1,1,0,6,0,0,0,0,0,0,0.22222222,10390
2010,Wilfredo Tovar,NYM,LEVEL,18,44,160,173,45,35,10,0,0,12,17,8,0,12,3,0,2,1,4,5,0.28125,10416
2011,Wilfredo Tovar,NYM,LEVEL,19,131,491,553,123,97,21,3,2,70,41,44,1,53,8,7,3,11,15,9,0.25050916,10416
2010,Mychal Givens,BAL,LEVEL,20,7,18,27,4,4,0,0,0,2,4,5,0,4,3,1,0,2,1,1,0.22222222,10430
2011,Mychal Givens,BAL,LEVEL,21,57,210,235,41,34,7,0,0,21,15,11,0,35,8,2,4,7,6,6,0.1952381,10430
2012,Mychal Givens,BAL,LEVEL,22,100,337,388,82,65,15,0,2,43,27,39,0,49,5,1,6,12,13,8,0.24332344,10430
2010,Jon Singleton,PHI,LEVEL,18,104,376,450,109,68,25,2,14,64,77,62,4,74,6,6,0,10,9,7,0.28989362,10441
2013,Jon Singleton,HOU,LEVEL,21,6,21,25,6,1,2,0,3,6,5,4,0,5,0,0,0,0,0,0,0.28571429,10441
2011,Enrique Hernandez,HOU,LEVEL,19,62,215,249,53,40,11,0,2,30,17,31,0,33,0,0,3,8,0,2,0.24651163,10472
2011,Cheslor Cuthbert,KCR,LEVEL,18,81,300,342,80,58,13,1,8,33,51,36,1,65,2,4,0,4,2,0,0.26666667,10473
2012,Hunter Cervenka,BOS,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10510
2011,Rocky Gale,SDP,LEVEL,23,26,90,101,24,20,3,0,1,9,13,6,0,23,1,3,1,3,0,1,0.26666667,10533
2011,Derek Dietrich,TBR,LEVEL,21,127,480,539,133,73,34,4,22,73,81,38,2,128,15,5,0,14,5,7,0.27708333,10542
2010,Rico Noel,SDP,LEVEL,21,12,44,52,6,5,0,1,0,3,7,5,0,8,3,0,0,0,3,0,0.13636364,10585
2011,Rico Noel,SDP,LEVEL,22,94,375,441,95,69,20,3,3,70,40,37,0,75,16,1,9,6,50,4,0.25333333,10585
2010,Joey Terdoslavich,ATL,LEVEL,21,21,79,85,25,16,9,0,0,7,10,5,0,18,1,0,0,4,0,0,0.3164557,10593
2015,Joey Terdoslavich,ATL,LEVEL,26,3,13,15,5,4,1,0,0,1,2,1,0,2,1,0,0,0,0,0,0.38461538,10593
2011,Bryce Brentz,BOS,LEVEL,22,40,170,186,61,37,10,3,11,43,36,14,0,35,2,0,0,5,2,2,0.35882353,10607
2011,David Freitas,WSN,LEVEL,22,123,427,516,123,80,30,0,13,67,73,82,1,87,6,1,0,17,2,1,0.28805621,10619
2011,Zach Walters,ARI,LEVEL,21,97,361,412,109,67,27,6,9,69,56,42,1,96,3,3,3,4,12,10,0.30193906,10622
2011,Carlos Perez,TOR,LEVEL,20,95,383,429,98,72,17,6,3,58,41,37,1,74,2,6,1,8,6,2,0.25587467,10642
2012,Carlos Perez,TOR,LEVEL,21,71,273,319,75,43,22,5,5,48,40,35,1,38,3,5,3,8,3,2,0.27472527,10642
2010,Rob Brantly,DET,LEVEL,20,52,188,217,48,36,10,1,1,26,21,23,0,22,5,0,1,9,2,2,0.25531915,10655
2011,Rob Brantly,DET,LEVEL,21,75,284,317,86,62,16,1,7,42,44,24,3,39,5,1,3,12,2,2,0.3028169,10655
2011,Gio Urshela,CLE,LEVEL,19,126,505,529,120,85,24,2,9,57,46,14,1,69,4,4,2,11,3,0,0.23762376,10681
2010,Ryan LaMarre,CIN,LEVEL,21,60,227,263,64,48,11,0,5,44,29,21,0,53,12,2,1,6,18,7,0.28193833,10700
2011,Arismendy Alcantara,CHC,LEVEL,19,99,369,390,100,79,14,5,2,45,37,16,1,76,1,0,4,3,8,8,0.27100271,10711
2011,Corey Dickerson,COL,LEVEL,22,106,383,436,108,44,27,5,32,78,87,39,0,99,8,5,0,5,9,6,0.28198433,10762
2011,Lane Adams,KCR,LEVEL,21,43,152,172,35,25,7,2,1,22,11,14,0,44,2,2,1,4,7,2,0.23026316,10767
2012,Lane Adams,KCR,LEVEL,22,67,262,291,78,56,13,4,5,40,44,21,0,48,2,4,2,4,11,1,0.29770992,10767
2010,Carlos Guillen,DET,LEVEL,34,2,6,7,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.33333333,1079
2010,Tyler Saladino,CHW,LEVEL,20,47,165,198,51,34,14,1,2,40,18,22,0,44,4,3,4,3,4,2,0.30909091,10807
2018,Tyler Saladino,MIL,LEVEL,28,3,8,11,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,10807
2011,Jurickson Profar,TEX,LEVEL,18,115,430,516,123,66,37,8,12,86,65,65,2,63,11,4,6,7,23,9,0.28604651,10815
2015,Jurickson Profar,TEX,LEVEL,22,9,33,35,9,7,1,0,1,2,5,1,0,9,1,0,0,0,0,0,0.27272727,10815
2010,Jedd Gyorko,SDP,LEVEL,21,42,162,183,46,33,11,0,2,19,23,19,0,31,2,0,0,3,1,0,0.28395062,10816
2010,Todd Cunningham,ATL,LEVEL,21,65,231,263,60,47,9,3,1,32,20,14,0,30,15,1,2,4,7,4,0.25974026,10822
2010,Cody Stanley,STL,LEVEL,21,2,4,5,1,0,0,0,1,1,2,0,0,2,0,1,0,1,0,0,0.25,10838
2011,Cody Stanley,STL,LEVEL,22,101,379,413,100,63,24,2,11,54,66,27,3,92,4,3,0,8,4,2,0.26385224,10838
2011,Rangel Ravelo,CHW,LEVEL,19,43,161,174,51,42,9,0,0,11,21,12,0,19,1,0,0,0,0,1,0.31677019,10839
2012,Rangel Ravelo,CHW,LEVEL,20,76,290,327,84,60,19,3,2,32,39,20,3,38,7,7,3,8,6,1,0.28965517,10839
2013,Rangel Ravelo,CHW,LEVEL,21,17,53,67,12,8,4,0,0,9,9,11,0,11,1,1,0,1,1,1,0.22641509,10839
2006,Darren Ford,MIL,LEVEL,20,125,491,566,139,105,24,3,7,93,54,56,1,133,4,1,14,4,69,15,0.28309572,109
2007,Darren Ford,MIL,LEVEL,21,51,224,254,75,51,15,4,5,48,33,23,1,56,1,1,5,2,31,10,0.33482143,109
2011,Adam Duvall,SFG,LEVEL,22,116,431,513,123,67,30,4,22,69,87,59,4,98,14,5,1,9,4,4,0.28538283,10950
2011,Greg Garcia,STL,LEVEL,21,46,150,174,41,30,10,1,0,20,10,17,0,24,4,1,2,3,4,2,0.27333333,10951
2010,Phil Gosselin,ATL,LEVEL,21,57,214,244,63,49,9,3,2,26,24,25,0,51,3,1,1,2,7,3,0.29439252,10953
2010,Colin Walsh,STL,LEVEL,20,28,98,120,21,15,2,2,2,15,6,20,0,20,2,0,0,4,5,1,0.21428571,10961
2011,Colin Walsh,STL,LEVEL,21,69,230,276,55,32,18,1,4,36,29,43,0,43,1,1,1,7,6,2,0.23913043,10961
2012,Colin Walsh,STL,LEVEL,22,97,353,425,111,72,18,5,16,69,68,60,4,65,7,5,0,7,4,3,0.31444759,10961
2011,Ryan O'Rourke,MIN,LEVEL,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10976
2011,Evan Gattis,ATL,LEVEL,24,88,338,377,109,61,24,2,22,58,71,25,1,53,11,2,1,9,2,4,0.32248521,11003
2011,Kevin Kiermaier,TBR,LEVEL,21,120,402,459,97,74,11,8,4,54,39,37,0,99,8,3,9,3,27,10,0.24129353,11038
2011,Cameron Rupp,PHI,LEVEL,22,99,324,368,88,64,19,1,4,33,44,31,0,96,8,4,1,5,0,0,0.27160494,11146
2011,Tommy Medica,SDP,LEVEL,23,44,142,165,38,16,19,0,3,22,21,17,0,33,5,0,1,2,0,1,0.26760563,11147
2010,Elliot Soto,CHC,LEVEL,20,3,9,11,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.11111111,11155
2011,Elliot Soto,CHC,LEVEL,21,87,318,354,83,71,11,1,0,35,24,17,0,58,6,2,11,7,4,7,0.26100629,11155
2010,Ramon Flores,NYY,LEVEL,18,14,48,51,12,9,3,0,0,3,2,3,0,15,0,0,0,0,1,0,0.25,11165
2011,Ramon Flores,NYY,LEVEL,19,125,468,534,124,85,26,2,11,59,59,61,1,93,3,0,2,5,13,2,0.26495726,11165
2014,Yhonathan Barrios,PIT,LEVEL,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11166
2011,Oscar Taveras,STL,LEVEL,19,78,308,347,119,79,27,5,8,52,62,32,1,52,3,4,0,5,1,4,0.38636364,11173
2011,Mike Freeman,ARI,LEVEL,23,70,257,296,67,50,15,2,0,35,27,27,0,39,2,5,5,3,16,2,0.26070039,11241
2012,Aaron Barrett,WSN,LEVEL,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11243
2011,Jabari Blash,SEA,LEVEL,21,42,124,162,27,18,5,1,3,13,13,38,1,43,0,0,0,3,5,2,0.21774194,11247
2012,Jabari Blash,SEA,LEVEL,22,113,400,471,98,58,20,5,15,71,50,60,0,134,9,2,0,8,13,7,0.245,11247
2010,Matt Szczur,CHC,LEVEL,20,6,26,30,5,3,1,1,0,6,2,3,0,5,1,0,0,1,0,0,0.19230769,11255
2011,Matt Szczur,CHC,LEVEL,21,66,274,298,86,65,15,1,5,55,27,21,0,28,2,1,0,4,17,5,0.31386861,11255
2011,Jonathan Schoop,BAL,LEVEL,19,51,212,238,67,44,12,3,8,45,34,20,0,32,2,3,1,13,6,4,0.31603774,11265
2011,Aaron Altherr,PHI,LEVEL,20,41,147,163,31,24,6,0,1,20,15,11,0,47,2,2,1,3,12,0,0.21088435,11270
2012,Aaron Altherr,PHI,LEVEL,21,110,420,471,106,65,27,6,8,65,50,38,1,102,6,6,1,4,25,8,0.25238095,11270
2010,Whit Merrifield,KCR,LEVEL,21,47,186,209,47,31,8,3,5,24,26,15,0,42,3,1,4,2,5,3,0.25268817,11281
2006,Steven Lerud,PIT,LEVEL,21,117,393,446,94,54,28,0,12,45,57,40,0,146,13,0,0,9,4,3,0.23918575,113
2010,Adrian Sanchez,WSN,LEVEL,19,25,104,107,33,31,1,0,1,15,15,0,0,18,2,0,1,4,0,2,0.31730769,11338
2011,Adrian Sanchez,WSN,LEVEL,20,131,538,577,141,103,30,5,3,75,51,17,0,71,10,4,8,13,25,12,0.26208178,11338
2010,Jake Marisnick,TOR,LEVEL,19,34,127,143,28,17,8,2,1,16,12,9,0,37,5,0,2,3,9,2,0.22047244,11339
2011,Jake Marisnick,TOR,LEVEL,20,118,462,523,148,101,27,6,14,68,77,43,4,91,14,4,0,9,37,8,0.32034632,11339
2011,Jesus Aguilar,CLE,LEVEL,21,95,349,397,102,54,27,2,19,58,69,35,1,98,10,3,0,7,1,0,0.29226361,11342
2007,Carlos Rivero,CLE,LEVEL,19,115,436,490,114,81,26,0,7,59,62,47,0,84,1,4,2,16,1,2,0.26146789,1136
2011,Brett Eibner,KCR,LEVEL,22,76,272,324,58,31,13,2,12,46,31,48,0,90,4,0,0,9,2,3,0.21323529,11369
2011,Delino DeShields,HOU,LEVEL,18,119,469,541,103,75,17,2,9,73,48,52,0,118,8,5,7,7,30,11,0.2196162,11379
2012,Delino DeShields,HOU,LEVEL,19,111,440,523,131,94,22,5,10,96,52,70,5,108,7,2,4,4,83,14,0.29772727,11379
2010,Matthew den Dekker,NYM,LEVEL,22,27,104,114,36,23,13,0,0,21,15,9,0,28,1,0,0,0,3,0,0.34615385,11385
2010,Tyler Holt,CLE,LEVEL,21,22,70,89,20,10,8,2,0,12,8,15,0,12,1,2,1,3,5,3,0.28571429,11391
2010,Ronald Torreyes,CIN,LEVEL,17,6,25,25,6,3,2,1,0,3,2,0,0,3,0,0,0,0,0,0,0.24,11400
2011,Ronald Torreyes,CIN,LEVEL,18,67,278,306,99,82,9,5,3,53,41,14,1,19,6,1,7,7,12,7,0.35611511,11400
2012,Kyle Waldrop,CIN,LEVEL,20,117,416,469,118,83,21,6,8,59,50,38,5,77,4,4,7,14,10,6,0.28365385,11402
2012,Rick Ankiel,WSN,LEVEL,32,3,8,11,4,2,1,0,1,2,4,3,0,2,0,0,0,1,0,0,0.5,1142
2011,Gary Sanchez,NYY,LEVEL,18,82,301,343,77,43,16,1,17,49,52,36,0,93,2,4,0,9,2,1,0.25581395,11442
2012,Gary Sanchez,NYY,LEVEL,19,68,263,289,78,46,19,0,13,44,56,22,0,65,2,2,0,11,11,4,0.29657795,11442
2019,Gary Sanchez,NYY,LEVEL,26,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11442
2011,Mark Canha,FLA,LEVEL,22,107,384,455,106,59,22,0,25,72,85,59,0,85,5,7,0,10,7,3,0.27604167,11445
2011,Rob Segedin,NYY,LEVEL,22,61,226,260,73,50,15,3,5,33,34,23,0,39,7,4,0,7,3,2,0.32300885,11446
2011,Dixon Machado,DET,LEVEL,19,124,429,491,101,98,1,2,0,47,28,46,1,77,4,2,10,12,25,5,0.23543124,11472
2011,Odubel Herrera,TEX,LEVEL,19,119,464,505,142,110,26,3,3,72,56,24,0,78,8,2,7,12,34,11,0.30603448,11476
2010,Christian Yelich,FLA,LEVEL,18,6,23,24,8,6,2,0,0,2,2,1,0,6,0,0,0,1,0,0,0.34782609,11477
2011,Christian Yelich,FLA,LEVEL,19,122,461,521,144,96,32,1,15,73,77,55,1,102,3,2,0,10,32,5,0.31236443,11477
2011,Robbie Ray,WSN,LEVEL,19,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11486
2010,Michael A. Taylor,WSN,LEVEL,19,5,13,15,3,2,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0.23076923,11489
2011,Michael A. Taylor,WSN,LEVEL,20,126,442,488,112,66,26,7,13,64,68,32,0,120,6,4,4,7,23,12,0.25339367,11489
2011,Manny Machado,BAL,LEVEL,18,38,145,170,40,24,8,2,6,24,24,23,4,25,1,1,0,8,3,1,0.27586207,11493
2012,Kaleb Cowart,LAA,LEVEL,20,66,263,290,77,49,16,3,9,42,54,22,0,44,2,3,0,8,9,4,0.29277567,11494
2012,Dayan Diaz,HOU,LEVEL,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11543
2012,Jose Dominguez,LAD,LEVEL,21,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11571
2011,Bryce Harper,WSN,LEVEL,18,72,258,305,82,50,17,1,14,49,46,44,7,61,3,0,0,5,19,5,0.31782946,11579
2008,Andrew Romine,LAA,LEVEL,22,126,461,543,120,93,21,4,2,79,34,55,2,76,9,6,12,5,62,18,0.26030369,1159
2011,Yolmer Sanchez,CHW,LEVEL,19,63,264,294,76,64,10,1,1,44,27,15,0,49,7,1,7,5,7,8,0.28787879,11602
2012,Garin Cecchini,BOS,LEVEL,21,118,455,526,139,93,38,4,4,84,62,61,5,90,7,3,0,13,51,6,0.30549451,11608
2013,Willson Contreras,CHC,LEVEL,21,86,310,345,77,50,11,5,11,46,46,26,0,66,7,1,1,11,8,3,0.2483871,11609
2012,Rosell Herrera,COL,LEVEL,19,63,213,237,43,32,8,2,1,22,26,21,0,49,0,2,1,3,6,3,0.20187793,11611
2013,Rosell Herrera,COL,LEVEL,20,126,472,546,162,113,33,0,16,83,76,61,3,96,3,4,6,5,21,8,0.34322034,11611
2012,Brandon Drury,ATL,LEVEL,19,123,445,480,102,71,22,3,6,47,51,20,0,73,7,5,3,14,3,4,0.22921348,11615
2013,Brandon Drury,ARI,LEVEL,20,134,526,583,159,89,51,4,15,78,85,47,6,92,5,5,0,10,1,1,0.30228137,11615
2007,Chris Valaika,CIN,LEVEL,21,79,300,331,92,59,20,3,10,38,56,17,0,72,8,6,0,9,1,4,0.30666667,1165
2011,Elias Diaz,PIT,LEVEL,20,90,326,360,72,44,23,3,2,38,45,23,0,69,4,2,5,7,6,1,0.2208589,11680
2012,Elias Diaz,PIT,LEVEL,21,92,313,347,65,47,14,1,3,32,26,22,0,51,3,6,3,15,2,2,0.20766773,11680
2011,Nick Castellanos,DET,LEVEL,19,135,507,562,158,112,36,3,7,65,76,45,2,130,3,6,1,5,3,2,0.31163708,11737
2011,Christian Villanueva,TEX,LEVEL,20,126,467,529,130,80,30,3,17,78,84,37,1,86,12,13,0,12,32,6,0.27837259,11738
2011,J.T. Realmuto,FLA,LEVEL,20,96,348,381,100,69,16,3,12,46,49,26,0,78,6,0,1,9,13,6,0.28735632,11739
2013,Carlos Ramirez,TOR,LEVEL,22,114,395,435,90,51,27,5,7,53,41,33,0,102,6,0,1,12,14,5,0.2278481,11743
2014,Carlos Ramirez,TOR,LEVEL,23,28,91,101,16,11,4,1,0,15,3,8,0,29,1,0,1,1,6,1,0.17582418,11743
2011,Stefen Romero,SEA,LEVEL,22,116,429,478,120,78,22,4,16,62,65,32,2,69,11,5,1,7,16,9,0.27972028,11746
2012,Drew Robinson,TEX,LEVEL,20,123,410,507,112,72,23,4,13,72,67,86,0,123,9,1,1,6,10,7,0.27317073,11761
2011,Kyle Parker,COL,LEVEL,21,117,445,516,127,82,23,1,21,75,95,48,0,133,14,8,1,20,2,0,0.28539326,11763
2011,Jason Rogers,MIL,LEVEL,23,64,240,270,66,43,15,2,6,29,37,22,2,48,2,4,2,1,6,1,0.275,11773
2012,Jason Rogers,MIL,LEVEL,24,66,239,279,72,41,24,1,6,39,43,37,0,46,1,2,0,8,5,0,0.30125523,11773
2012,Tyler Austin,NYY,LEVEL,20,70,266,309,85,44,22,5,14,69,54,37,1,68,3,3,0,7,17,2,0.31954887,11850
2011,Steven Moya,DET,LEVEL,19,86,323,337,66,42,10,1,13,38,39,12,1,127,1,1,0,4,1,1,0.20433437,11854
2012,Steven Moya,DET,LEVEL,20,59,243,258,70,44,14,3,9,28,47,11,1,59,1,2,1,4,5,3,0.28806584,11854
2012,Mason Williams,NYY,LEVEL,20,69,276,311,84,53,19,4,8,55,28,21,1,33,4,3,7,1,19,9,0.30434783,11859
2011,Yadiel Rivera,MIL,LEVEL,19,32,103,111,20,16,2,1,1,6,5,4,0,34,0,0,4,0,0,0,0.19417476,11863
2012,Yadiel Rivera,MIL,LEVEL,20,127,465,506,115,72,26,5,12,61,49,26,0,119,4,5,6,12,7,3,0.24731183,11863
2011,Ronny Rodriguez,CLE,LEVEL,19,98,370,394,91,45,28,7,11,41,42,13,0,83,3,4,4,6,10,7,0.24594595,11875
2012,Noel Cuevas,LAD,LEVEL,20,40,150,164,34,25,5,2,2,14,18,8,0,25,4,1,1,3,7,1,0.22666667,11894
2011,Joc Pederson,LAD,LEVEL,19,16,50,60,8,8,0,0,0,4,1,7,0,9,2,0,1,3,2,0,0.16,11899
2012,Hanser Alberto,TEX,LEVEL,19,62,246,272,83,61,17,1,4,37,38,18,1,22,3,3,2,7,15,4,0.33739837,11902
2011,Orlando Calixte,KCR,LEVEL,19,81,289,317,60,51,5,1,3,19,31,20,1,70,0,4,4,2,11,4,0.20761246,11905
2012,Orlando Calixte,KCR,LEVEL,20,62,228,254,55,28,13,4,10,31,34,21,0,44,0,2,3,5,2,5,0.24122807,11905
2007,Chris Johnson,HOU,LEVEL,22,64,255,277,66,44,14,0,8,37,44,17,0,38,1,3,1,8,3,4,0.25882353,1191
2012,Travis Taijeron,NYM,LEVEL,23,64,230,277,67,35,17,3,12,46,44,37,0,70,7,3,0,3,4,1,0.29130435,11935
2011,Travis Shaw,BOS,LEVEL,21,2,9,10,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.33333333,11982
2014,Cody Asche,PHI,LEVEL,24,3,7,10,3,0,1,0,2,3,5,3,0,2,0,0,0,0,1,0,0.42857143,11997
2013,Nick Martini,STL,LEVEL,23,106,365,416,92,70,18,2,2,36,36,40,3,40,9,2,0,9,9,8,0.25205479,12005
2012,Nick Martini,STL,LEVEL,22,130,482,563,128,98,24,4,2,82,52,64,1,60,10,4,3,10,11,9,0.26556017,12005
