Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2015,Luis Aviles Jr.,MIL,LEVEL,20,57,185,190,36,24,7,3,2,10,15,3,0,66,0,0,2,1,1,5,0.19459459,sa738445
2016,Luis Aviles Jr.,MIL,LEVEL,21,120,456,493,109,72,22,6,9,54,47,28,0,130,4,1,4,6,21,6,0.23903509,sa738445
2015,Ryan Scott,LAD,LEVEL,20,7,19,24,1,1,0,0,0,1,1,5,0,7,0,0,0,1,2,0,0.05263158,sa738447
2017,Ryan Scott,SEA,LEVEL,22,19,62,70,12,7,5,0,0,9,7,6,0,11,1,0,1,1,1,1,0.19354839,sa738447
2018,Ryan Scott,SEA,LEVEL,23,35,107,128,22,16,5,1,0,13,9,19,0,36,1,0,1,2,1,1,0.20560748,sa738447
2017,Ridge Smith,TOR,LEVEL,22,51,166,196,41,23,15,1,2,22,26,23,0,38,2,5,0,3,2,0,0.24698795,sa738448
2018,Ridge Smith,TOR,LEVEL,23,4,14,14,4,3,0,0,1,1,3,0,0,3,0,0,0,0,0,0,0.28571429,sa738448
2014,Cambric Moye,LAA,LEVEL,22,40,122,139,18,10,6,0,2,11,12,15,0,45,2,0,0,4,0,0,0.14754098,sa738450
2014,Federico Castagnini,BAL,LEVEL,23,33,107,130,25,24,1,0,0,17,5,16,0,18,1,2,4,1,0,2,0.23364486,sa738452
2017,Cody Thomas,LAD,LEVEL,22,121,460,512,102,60,18,4,20,59,65,43,1,150,5,4,0,4,6,7,0.22173913,sa738459
2014,Chantz Mack,SEA,LEVEL,23,73,273,310,77,54,11,4,8,32,50,29,0,40,2,4,2,3,7,3,0.28205128,sa738471
2015,Chantz Mack,SEA,LEVEL,24,88,310,366,81,60,16,4,1,46,26,49,0,79,4,2,1,6,3,5,0.26129032,sa738471
2017,Chris Madera,BOS,LEVEL,24,48,185,210,51,40,6,0,5,34,22,21,0,39,2,1,1,4,12,2,0.27567568,sa738486
2017,Wagner Ramirez,BAL,LEVEL,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738491
2017,Steven Sensley,NYY,LEVEL,21,21,81,87,21,12,5,0,4,10,22,5,0,20,1,0,0,2,0,0,0.25925926,sa738492
2018,Steven Sensley,NYY,LEVEL,22,67,231,260,64,36,15,3,10,32,22,21,2,66,7,1,0,3,2,4,0.27705628,sa738492
2018,Angel Moreno,STL,LEVEL,21,10,36,40,8,6,1,0,1,3,5,3,0,13,1,0,0,0,0,1,0.22222222,sa738494
2016,Angel Moreno,TBR,LEVEL,19,78,276,295,63,46,15,1,1,34,24,10,0,62,4,0,5,9,13,3,0.22826087,sa738494
2016,Chris Okey,CIN,LEVEL,21,42,148,169,36,21,8,1,6,21,21,14,0,49,4,1,2,2,5,0,0.24324324,sa738505
2016,Edgar Cabral,PHI,LEVEL,20,24,79,84,16,13,2,0,1,7,7,4,0,11,1,0,0,2,0,0,0.20253165,sa738507
2017,Edgar Cabral,PHI,LEVEL,21,67,235,263,57,42,12,1,2,19,14,23,0,39,3,2,0,3,0,0,0.24255319,sa738507
2016,Corey Ray,MIL,LEVEL,21,3,12,16,1,1,0,0,0,2,0,3,0,4,1,0,0,0,1,1,0.08333333,sa738510
2014,Carlos Avila,MIN,LEVEL,24,3,9,11,3,2,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0.33333333,sa738516
2017,Charles Leblanc,TEX,LEVEL,21,54,195,217,51,40,7,0,4,27,19,19,0,33,1,2,0,3,3,0,0.26153846,sa738521
2016,Daniel De La Calle,TBR,LEVEL,23,6,21,24,5,4,1,0,0,3,6,3,0,10,0,0,0,0,0,0,0.23809524,sa738529
2017,Daniel De La Calle,TBR,LEVEL,24,20,67,73,16,10,5,0,1,9,13,3,0,21,1,2,0,1,0,0,0.23880597,sa738529
2014,Craig Massoni,SFG,LEVEL,22,44,153,169,39,27,11,0,1,18,10,15,0,45,1,0,0,4,2,0,0.25490196,sa738531
2014,Trevor Sprowl,ATL,LEVEL,21,12,37,47,7,6,1,0,0,2,1,9,0,7,0,0,1,0,0,2,0.18918919,sa738532
2014,Chase Brookshire,STL,LEVEL,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738547
2014,Lana Akau,OAK,LEVEL,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sa738553
2015,Lana Akau,OAK,LEVEL,19,41,147,168,37,25,9,1,2,19,14,12,0,49,8,1,0,1,0,1,0.25170068,sa738553
2016,Drew Bridges,NYY,LEVEL,21,8,26,28,5,3,0,1,1,2,2,1,0,9,0,0,1,0,0,0,0.19230769,sa738556
2017,Morgan Lofstrom,CIN,LEVEL,21,3,10,11,3,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.3,sa738557
2018,Morgan Lofstrom,CIN,LEVEL,22,11,28,32,7,4,3,0,0,3,2,3,0,12,1,0,0,0,0,0,0.25,sa738557
2019,Morgan Lofstrom,CIN,LEVEL,23,64,213,230,55,35,15,2,3,23,23,8,0,82,5,2,2,0,0,0,0.25821596,sa738557
2016,Rod Boykin,SDP,LEVEL,21,62,198,231,37,29,5,3,0,21,7,18,0,77,6,0,9,4,13,3,0.18686869,sa738567
2017,Rod Boykin,SDP,LEVEL,22,69,205,235,51,32,10,3,6,31,20,23,0,77,2,1,4,5,7,4,0.24878049,sa738567
2015,Dane McFarland,ARI,LEVEL,20,9,22,22,1,1,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0.04545455,sa738569
2014,Tyler Shryock,CHW,LEVEL,23,48,151,169,25,23,2,0,0,13,8,16,0,28,2,0,0,1,4,4,0.16556291,sa738572
2014,Conor Bierfeldt,BAL,LEVEL,23,111,397,442,78,38,27,1,12,44,67,38,1,107,5,1,1,10,3,0,0.19647355,sa738591
2015,Conor Bierfeldt,BAL,LEVEL,24,62,227,262,56,28,19,2,7,32,56,30,0,47,3,2,0,5,0,0,0.24669604,sa738591
