"","season","name","team","age","w","l","g","gs","sv","bs","ip","babip","h","r","er","hr","bb","so","fip","war","player_id","year_in_mlb","sum_yrs"
"1",2002,"Aaron Harang","OAK",24,5,4,16,15,0,0,78.1,0.302,78,44,42,7,45,64,4.33,1.2,1451,1,15
"2",2003,"Aaron Harang","- - -",25,5,6,16,15,0,0,76.1,0.307,89,47,45,11,19,42,4.59,1,1451,2,15
"3",2004,"Aaron Harang","CIN",26,10,9,28,28,0,0,161,0.301,177,90,87,26,53,125,4.68,1.8,1451,3,15
"4",2005,"Aaron Harang","CIN",27,11,13,32,32,0,0,211.2,0.303,217,93,90,22,51,163,3.67,4.6,1451,4,15
"5",2006,"Aaron Harang","CIN",28,16,11,36,35,0,0,234.1,0.312,242,109,98,28,56,216,3.68,5.7,1451,5,15
"6",2007,"Aaron Harang","CIN",29,16,6,34,34,0,0,231.2,0.288,213,100,96,28,52,218,3.71,5.4,1451,6,55
"7",2008,"Aaron Harang","CIN",30,6,17,30,29,0,0,184.1,0.307,205,104,98,35,50,153,4.79,1.5,1451,7,55
"8",2009,"Aaron Harang","CIN",31,6,14,26,26,0,0,162.1,0.331,186,82,76,24,43,142,4.14,2.3,1451,8,55
"9",2010,"Aaron Harang","CIN",32,6,7,22,20,0,0,111.2,0.338,139,71,66,16,38,82,4.6,0.7,1451,9,55
"10",2011,"Aaron Harang","SDP",33,14,7,28,28,0,0,170.2,0.302,175,73,69,20,58,124,4.17,1.4,1451,10,55
"11",2015,"Aaron Nola","PHI",22,6,2,13,13,0,0,77.2,0.289,74,31,31,11,19,68,4.04,1,16149,1,15
"12",2016,"Aaron Nola","PHI",23,6,9,20,20,0,0,111,0.334,116,68,59,10,29,121,3.08,2.8,16149,2,15
"13",2017,"Aaron Nola","PHI",24,12,11,27,27,0,0,168,0.309,154,67,66,18,49,184,3.27,4.5,16149,3,15
"14",2018,"Aaron Nola","PHI",25,17,6,33,33,0,0,212.1,0.251,149,57,56,17,58,224,3.01,5.5,16149,4,15
"15",2019,"Aaron Nola","PHI",26,12,7,34,34,0,0,202.1,0.295,176,91,87,27,80,229,4.03,3.5,16149,5,15
"16",1902,"Addie Joss","CLE",22,17,13,32,29,0,NA,269.1,0.254,225,120,83,2,75,106,2.81,3.7,1006630,1,15
"17",1903,"Addie Joss","CLE",23,18,13,32,31,0,NA,283.2,0.252,232,104,69,3,37,120,2.44,3.9,1006630,2,15
"18",1904,"Addie Joss","CLE",24,14,10,25,24,0,NA,192.1,0.258,160,51,34,0,30,83,2.02,2.8,1006630,3,15
"19",1905,"Addie Joss","CLE",25,20,12,33,32,0,NA,286,0.264,246,90,64,4,46,132,2.26,3.8,1006630,4,15
"20",1906,"Addie Joss","CLE",26,21,9,34,31,1,NA,282,0.239,220,81,54,3,43,106,2.21,4,1006630,5,15
"21",1884,"Adonis Terry","BRO",19,19,35,56,55,0,NA,476,0.3,486,308,188,10,72,230,3.03,5.3,1012926,1,15
"22",1885,"Adonis Terry","BRO",20,6,17,25,23,1,NA,209,0.293,213,147,99,9,42,96,3.12,1.8,1012926,2,15
"23",1886,"Adonis Terry","BRO",21,18,16,34,34,0,NA,288.1,0.287,263,177,99,1,115,162,3.22,3,1012926,3,15
"24",1887,"Adonis Terry","BRO",22,16,16,40,35,3,NA,318,0.297,331,230,142,10,99,138,3.75,3.9,1012926,4,15
"25",1888,"Adonis Terry","BRO",23,13,8,23,23,0,NA,195,0.258,145,79,44,2,67,138,2.41,2.8,1012926,5,15
"26",1889,"Adonis Terry","BRO",24,22,15,41,39,0,NA,326,0.276,285,189,119,6,126,186,3.34,3.9,1012926,6,55
"27",1890,"Adonis Terry","BRO",25,26,16,46,44,0,NA,370,0.295,362,200,121,3,133,185,3.15,5.2,1012926,7,55
"28",1891,"Adonis Terry","BRO",26,6,16,25,22,1,NA,194,0.295,207,139,91,5,80,65,3.58,1.3,1012926,8,55
"29",1892,"Adonis Terry","- - -",27,18,8,31,27,1,NA,249,0.238,192,113,71,3,113,98,3.26,2.2,1012926,9,55
"30",1893,"Adonis Terry","PIT",28,12,8,26,19,0,NA,170,0.287,177,121,84,5,99,52,4.89,1.1,1012926,10,55
"31",1943,"Al Brazle","STL",29,8,2,13,9,0,NA,88,0.249,74,18,15,0,29,26,2.81,1.5,1001371,1,15
"32",1946,"Al Brazle","STL",32,11,10,37,15,0,NA,153.1,0.282,152,69,56,1,55,58,2.83,2.7,1001371,2,15
"33",1947,"Al Brazle","STL",33,14,8,44,19,4,NA,168,0.313,186,65,53,7,48,85,2.92,3.9,1001371,3,15
"34",1948,"Al Brazle","STL",34,10,6,42,23,1,NA,156.1,0.291,171,77,66,8,50,55,3.58,2.7,1001371,4,15
"35",1949,"Al Brazle","STL",35,14,8,39,25,0,NA,206.1,0.268,208,85,73,18,61,75,3.89,2.8,1001371,5,15
"36",1945,"Al Gettel","NYY",27,9,8,27,17,3,NA,154.2,0.253,141,70,67,11,53,67,3.76,1,1004644,1,15
"37",1946,"Al Gettel","NYY",28,6,7,26,11,0,NA,103,0.249,89,40,34,6,40,54,3.32,1.1,1004644,2,15
"38",1947,"Al Gettel","CLE",29,11,10,31,21,0,NA,149,0.234,122,54,53,12,62,64,3.99,0.8,1004644,3,15
"39",1948,"Al Gettel","- - -",30,8,11,27,21,1,NA,155.2,0.286,169,91,81,9,70,53,4.17,1.6,1004644,4,15
"40",1949,"Al Gettel","- - -",31,2,7,35,8,2,NA,97.2,0.279,112,72,66,16,50,29,5.64,-0.9,1004644,5,15
"41",1935,"Al Hollingsworth","CIN",27,6,13,38,22,0,NA,173.1,0.268,165,90,75,5,76,89,3.74,2.1,1005955,1,15
"42",1936,"Al Hollingsworth","CIN",28,9,10,29,25,0,NA,184,0.304,204,97,85,4,66,76,3.88,2.5,1005955,2,15
"43",1937,"Al Hollingsworth","CIN",29,9,15,43,24,5,NA,202.1,0.293,224,108,88,8,73,74,3.93,1.7,1005955,3,15
"44",1938,"Al Hollingsworth","- - -",30,7,18,33,25,0,NA,208.1,0.296,220,117,101,6,89,93,3.69,2.9,1005955,4,15
"45",1939,"Al Hollingsworth","- - -",31,2,11,23,15,0,NA,87.1,0.329,111,65,55,3,38,35,3.96,1.1,1005955,5,15
"46",1885,"Al Mays","LOU",20,6,11,17,17,0,NA,150,0.258,129,102,46,3,43,61,3.19,1.1,1008311,1,15
"47",1886,"Al Mays","NYM",21,11,28,41,41,0,NA,350,0.282,330,231,132,7,140,163,3.63,2,1008311,2,15
"48",1887,"Al Mays","NYM",22,17,34,52,52,0,NA,441.1,0.325,551,359,232,11,136,124,3.96,3.9,1008311,3,15
"49",1888,"Al Mays","BRO",23,9,9,18,18,0,NA,160.2,0.278,150,81,50,1,32,67,2.5,2.1,1008311,4,15
"50",1889,"Al Mays","COL",24,10,7,21,19,0,NA,140,0.322,167,119,75,4,56,52,3.91,0.7,1008311,5,15
"51",1895,"Al Orth","PHI",22,8,1,11,10,1,NA,88,0.316,103,50,38,0,22,25,3.91,1.5,1009857,1,15
"52",1896,"Al Orth","PHI",23,15,10,25,23,0,NA,196,0.306,244,128,96,10,46,23,4.56,1.5,1009857,2,15
"53",1897,"Al Orth","PHI",24,14,19,36,34,0,NA,282.1,0.315,349,194,145,12,82,64,4.29,2.5,1009857,3,15
"54",1898,"Al Orth","PHI",25,15,13,32,28,0,NA,250,0.306,290,131,84,2,53,52,3.09,3.3,1009857,4,15
"55",1899,"Al Orth","PHI",26,14,3,21,15,1,NA,144.2,0.285,149,67,40,0,19,35,2.84,2.6,1009857,5,15
"56",1900,"Al Orth","PHI",27,14,14,33,30,1,NA,262,0.308,302,145,110,4,60,68,3.19,3.4,1009857,6,55
"57",1901,"Al Orth","PHI",28,20,12,35,33,1,NA,281.2,0.26,250,101,71,3,32,92,2.75,4.1,1009857,7,55
"58",1902,"Al Orth","WAS",29,19,18,38,37,0,NA,324,0.294,367,181,143,18,40,76,3.29,3.6,1009857,8,55
"59",1903,"Al Orth","WAS",30,10,22,36,32,2,NA,279.2,0.312,326,174,135,8,62,88,3.16,2,1009857,9,55
"60",1904,"Al Orth","- - -",31,14,10,30,25,0,NA,211.1,0.283,210,96,80,2,34,70,2.36,2.6,1009857,10,55
"61",1871,"Al Spalding","BSN",20,19,10,31,31,0,NA,257.1,0.32,333,272,96,2,38,23,3.95,3,1012300,1,15
"62",1872,"Al Spalding","BSN",21,38,8,48,48,0,NA,404.2,0.27,412,224,89,0,27,27,3.57,4.2,1012300,2,15
"63",1873,"Al Spalding","BSN",22,41,14,60,55,2,NA,497.2,0.317,643,414,136,5,28,31,3.11,5.9,1012300,3,15
"64",1874,"Al Spalding","BSN",23,52,16,71,69,0,NA,616.1,0.303,753,402,161,1,23,11,2.9,6.4,1012300,4,15
"65",1875,"Al Spalding","BSN",24,55,5,72,63,8,NA,575,0.261,571,241,97,1,14,9,2.43,5.8,1012300,5,15
"66",1980,"Albert Williams","MIN",26,6,2,18,9,1,NA,77,0.259,73,33,30,9,30,35,4.53,0.3,1013971,1,15
"67",1981,"Albert Williams","MIN",27,6,10,23,22,0,NA,150,0.298,160,72,68,11,52,76,3.6,2,1013971,2,15
"68",1982,"Albert Williams","MIN",28,9,7,26,26,0,NA,153.2,0.278,166,74,72,18,55,61,4.52,1.2,1013971,3,15
"69",1983,"Albert Williams","MIN",29,11,14,36,29,1,NA,193.1,0.262,196,105,89,21,68,68,4.58,0.9,1013971,4,15
"70",1984,"Albert Williams","MIN",30,3,5,17,11,0,NA,68.2,0.278,75,46,44,9,22,22,5.1,-0.1,1013971,5,15
"71",1990,"Alex Fernandez","CHW",20,5,5,13,13,0,NA,87.2,0.303,89,40,37,6,34,61,3.57,1.4,1003993,1,15
"72",1991,"Alex Fernandez","CHW",21,9,13,34,32,0,NA,191.2,0.295,186,100,96,16,88,145,3.84,2.7,1003993,2,15
"73",1992,"Alex Fernandez","CHW",22,8,11,29,29,0,NA,187.2,0.283,199,100,89,21,50,95,4.15,1.8,1003993,3,15
"74",1993,"Alex Fernandez","CHW",23,18,9,34,34,0,NA,247.1,0.264,221,95,86,27,67,169,3.93,4.1,1003993,4,15
"75",1994,"Alex Fernandez","CHW",24,11,7,24,24,0,NA,170.1,0.268,163,83,73,25,50,122,4.5,2.4,1003993,5,15
"76",1995,"Alex Fernandez","CHW",25,12,8,30,30,0,NA,203.2,0.294,200,98,86,19,65,159,3.71,4.5,1003993,6,55
"77",1996,"Alex Fernandez","CHW",26,16,10,35,35,0,NA,258,0.282,248,110,99,34,72,200,4.25,4.7,1003993,7,55
"78",1997,"Alex Fernandez","FLA",27,17,12,32,32,0,NA,220.2,0.27,193,93,88,25,69,183,3.92,3.3,1003993,8,55
"79",1999,"Alex Fernandez","FLA",29,7,8,24,24,0,NA,141,0.282,135,60,53,10,41,91,3.72,3.1,1003993,9,55
"80",2000,"Alex Fernandez","FLA",30,4,4,8,8,0,NA,52.1,0.302,59,25,24,7,16,27,4.76,0.6,1003993,10,55
"81",2013,"Alex Wood","ATL",22,3,3,31,11,0,0,77.2,0.333,76,29,27,3,27,77,2.65,1.6,13781,1,15
"82",2014,"Alex Wood","ATL",23,11,11,35,24,0,0,171.2,0.295,151,58,53,16,45,170,3.25,2.9,13781,2,15
"83",2015,"Alex Wood","- - -",24,12,12,32,32,0,0,189.2,0.313,198,86,81,15,59,139,3.69,2.7,13781,3,15
"84",2016,"Alex Wood","LAD",25,1,4,14,10,0,0,60.1,0.317,56,30,25,5,20,66,3.18,1.1,13781,4,15
"85",2017,"Alex Wood","LAD",26,16,3,27,25,0,0,152.1,0.267,123,50,46,15,38,151,3.32,3.1,13781,5,15
"86",1993,"Allen Watson","STL",22,6,7,16,15,0,NA,86,0.28,90,53,44,11,28,49,4.59,0.5,1013675,1,15
"87",1994,"Allen Watson","STL",23,6,5,22,22,0,NA,115.2,0.308,130,73,71,15,53,74,5.12,0.3,1013675,2,15
"88",1995,"Allen Watson","STL",24,7,9,21,19,0,NA,114.1,0.288,126,68,63,17,41,49,5.39,-0.1,1013675,3,15
"89",1996,"Allen Watson","SFG",25,8,12,29,29,0,NA,185.2,0.286,189,105,95,28,69,128,4.95,1,1013675,4,15
"90",1997,"Allen Watson","ANA",26,12,12,35,34,0,NA,199,0.295,220,121,109,37,73,141,5.33,1.1,1013675,5,15
"91",1926,"Alvin Crowder","WAS",27,7,4,19,12,1,NA,100,0.262,97,52,44,3,60,26,4.64,0.2,1002820,1,15
"92",1927,"Alvin Crowder","- - -",28,7,12,36,19,3,NA,141,0.258,129,88,75,6,84,52,4.69,0.6,1002820,2,15
"93",1928,"Alvin Crowder","SLB",29,21,5,41,31,2,NA,244,0.262,238,113,100,11,91,99,3.81,3.4,1002820,3,15
"94",1929,"Alvin Crowder","SLB",30,17,15,40,34,4,NA,266.2,0.268,272,133,116,22,93,79,4.69,2.7,1002820,4,15
"95",1930,"Alvin Crowder","- - -",31,18,16,40,35,2,NA,279.2,0.268,276,133,121,17,96,107,4.58,3.5,1002820,5,15
"96",1931,"Alvin Crowder","WAS",32,18,11,44,26,2,NA,234.1,0.289,255,117,101,13,72,85,4.04,2.6,1002820,6,55
"97",1932,"Alvin Crowder","WAS",33,26,13,50,39,1,NA,327,0.261,319,136,121,17,77,103,3.77,5.3,1002820,7,55
"98",1933,"Alvin Crowder","WAS",34,24,15,52,35,4,NA,299.1,0.28,311,140,132,14,81,110,3.51,4.5,1002820,8,55
"99",1934,"Alvin Crowder","- - -",35,9,11,38,22,3,NA,167.1,0.33,223,123,107,12,58,69,4.27,1.9,1002820,9,55
"100",1935,"Alvin Crowder","DET",36,16,10,33,32,0,NA,241,0.288,269,127,114,16,67,59,4.31,3,1002820,10,55
"101",1889,"Amos Rusie","IND",18,12,10,33,22,0,NA,225,0.308,246,181,133,12,116,109,4.35,1.8,1011308,1,15
"102",1890,"Amos Rusie","NYG",19,29,34,67,63,1,NA,548.2,0.264,436,300,156,3,289,341,3.38,7.2,1011308,2,15
"103",1891,"Amos Rusie","NYG",20,33,20,61,57,1,NA,500.1,0.263,391,244,142,7,262,337,3.08,6.2,1011308,3,15
"104",1892,"Amos Rusie","NYG",21,31,31,64,61,0,NA,532,0.247,405,288,170,7,267,288,3.12,5.3,1011308,4,15
"105",1893,"Amos Rusie","NYG",22,33,21,56,52,1,NA,482,0.275,451,260,173,15,218,208,4.27,5.8,1011308,5,15
"106",1991,"Andy Ashby","PHI",23,1,5,8,8,0,NA,42,0.271,41,28,28,5,19,26,4.74,0,637,1,15
"107",1992,"Andy Ashby","PHI",24,1,3,10,8,0,NA,37,0.303,42,31,31,6,21,24,5.38,-0.4,637,2,15
"108",1993,"Andy Ashby","- - -",25,3,10,32,21,1,NA,123,0.354,168,100,93,19,56,77,5.21,0.1,637,3,15
"109",1994,"Andy Ashby","SDP",26,6,11,24,24,0,NA,164.1,0.259,145,75,62,16,43,121,3.76,3.2,637,4,15
"110",1995,"Andy Ashby","SDP",27,12,10,31,31,0,NA,192.2,0.291,180,79,63,17,62,150,3.83,3.3,637,5,15
"111",1996,"Andy Ashby","SDP",28,9,5,24,24,0,NA,150.2,0.275,147,60,54,17,34,85,4.25,1.8,637,6,55
"112",1997,"Andy Ashby","SDP",29,9,11,30,30,0,NA,200.2,0.299,207,108,92,17,49,144,3.58,3.8,637,7,55
"113",1998,"Andy Ashby","SDP",30,17,9,33,33,0,NA,226.2,0.286,223,90,84,23,58,151,3.99,3.2,637,8,55
"114",1999,"Andy Ashby","SDP",31,14,10,31,31,0,NA,206,0.277,204,95,87,26,54,132,4.38,2.7,637,9,55
"115",2000,"Andy Ashby","- - -",32,12,13,31,31,0,NA,199.1,0.281,216,124,109,29,61,106,4.97,1.9,637,10,55
"116",1989,"Andy Benes","SDP",21,6,3,10,10,0,NA,66.2,0.251,51,28,26,7,31,66,3.59,0.9,1144,1,15
"117",1990,"Andy Benes","SDP",22,10,11,32,31,0,NA,192.1,0.273,177,87,77,18,69,140,3.66,2.9,1144,2,15
"118",1991,"Andy Benes","SDP",23,15,11,33,33,0,NA,223,0.261,194,76,75,23,59,167,3.55,3.6,1144,3,15
"119",1992,"Andy Benes","SDP",24,13,14,34,34,0,NA,231.1,0.303,230,90,86,14,61,169,2.96,4.7,1144,4,15
"120",1993,"Andy Benes","SDP",25,15,15,34,34,0,NA,230.2,0.262,200,111,97,23,86,179,3.9,3.5,1144,5,15
"121",1994,"Andy Benes","SDP",26,6,14,25,25,0,NA,172.1,0.296,155,82,74,20,51,189,3.35,4.2,1144,6,55
"122",1995,"Andy Benes","- - -",27,11,9,31,31,0,NA,181.2,0.326,193,107,96,18,78,171,3.9,3.3,1144,7,55
"123",1996,"Andy Benes","STL",28,18,10,36,34,1,NA,230.1,0.27,215,107,98,28,77,160,4.44,2.4,1144,8,55
"124",1997,"Andy Benes","STL",29,10,7,26,26,0,NA,177,0.294,149,64,61,9,61,175,2.91,5.1,1144,9,55
"125",1998,"Andy Benes","ARI",30,14,13,34,34,0,NA,231.1,0.276,221,111,102,25,74,164,4.16,3.3,1144,10,55
"126",1982,"Andy Hawkins","SDP",22,2,5,15,10,0,NA,63.2,0.278,66,33,29,4,27,25,4.11,0.2,1005514,1,15
"127",1983,"Andy Hawkins","SDP",23,5,7,21,19,0,NA,119.2,0.257,106,50,39,8,48,59,3.97,1.1,1005514,2,15
"128",1984,"Andy Hawkins","SDP",24,8,9,36,22,0,NA,146,0.267,143,90,76,13,72,77,4.39,0.2,1005514,3,15
"129",1985,"Andy Hawkins","SDP",25,18,8,33,33,0,NA,228.2,0.265,229,88,80,18,65,69,4.01,2,1005514,4,15
"130",1986,"Andy Hawkins","SDP",26,10,8,37,35,0,NA,209.1,0.284,218,111,100,24,75,117,4.29,1.3,1005514,5,15
"131",1987,"Andy Hawkins","SDP",27,3,10,24,20,0,NA,117.2,0.289,131,71,66,16,49,51,5.07,0.3,1005514,6,55
"132",1988,"Andy Hawkins","SDP",28,14,11,33,33,0,NA,217.2,0.251,196,88,81,16,76,91,4.02,1.5,1005514,7,55
"133",1989,"Andy Hawkins","NYY",29,15,15,34,34,0,NA,208.1,0.305,238,127,111,23,76,98,4.44,1.1,1005514,8,55
"134",1990,"Andy Hawkins","NYY",30,5,12,28,26,0,NA,157.2,0.265,156,101,94,20,82,74,5.12,0,1005514,9,55
"135",1991,"Andy Hawkins","- - -",31,4,6,19,17,0,NA,89.2,0.273,91,56,55,10,42,45,4.87,0.3,1005514,10,55
"136",1995,"Andy Pettitte","NYY",23,12,9,31,26,0,NA,175,0.304,183,86,81,15,63,114,4.01,3.2,840,1,15
"137",1996,"Andy Pettitte","NYY",24,21,8,35,34,0,NA,221,0.308,229,105,95,23,72,162,4.08,4.6,840,2,15
"138",1997,"Andy Pettitte","NYY",25,18,7,35,35,0,NA,240.1,0.303,233,86,77,7,65,166,2.96,7.2,840,3,15
"139",1998,"Andy Pettitte","NYY",26,16,11,33,32,0,NA,216.1,0.306,226,110,102,20,87,146,4.28,3.2,840,4,15
"140",1999,"Andy Pettitte","NYY",27,14,11,31,31,0,NA,191.2,0.317,216,105,100,20,89,121,4.67,2.6,840,5,15
"141",2000,"Andy Pettitte","NYY",28,19,9,32,32,0,NA,204.2,0.298,219,111,99,17,80,125,4.22,3.9,840,6,55
"142",2001,"Andy Pettitte","NYY",29,15,10,31,31,0,NA,200.2,0.332,224,103,89,14,41,164,3.02,5.8,840,7,55
"143",2002,"Andy Pettitte","NYY",30,13,5,22,22,0,0,134.2,0.32,144,58,49,6,32,97,2.9,3.9,840,8,55
"144",2003,"Andy Pettitte","NYY",31,21,8,33,33,0,0,208.1,0.32,227,109,93,21,50,180,3.35,5.1,840,9,55
"145",2004,"Andy Pettitte","HOU",32,6,4,15,15,0,0,83,0.276,71,37,36,8,31,79,3.52,1.9,840,10,55
"146",2005,"Andy Pettitte","HOU",33,17,9,33,33,0,0,222.1,0.266,188,66,59,17,41,171,3.07,5.8,840,11,120
"147",2006,"Andy Pettitte","HOU",34,14,13,36,35,0,0,214.1,0.324,238,114,100,27,70,178,4.13,3.4,840,12,120
"148",2007,"Andy Pettitte","NYY",35,15,9,36,34,0,0,215.1,0.322,238,106,97,16,69,141,3.87,4,840,13,120
"149",2008,"Andy Pettitte","NYY",36,14,14,33,33,0,0,204,0.333,233,112,103,19,55,158,3.71,3.3,840,14,120
"150",2009,"Andy Pettitte","NYY",37,14,8,32,32,0,0,194.2,0.295,193,101,90,20,76,148,4.15,3.5,840,15,120
"151",1960,"Art Mahaffey","PHI",22,7,3,14,12,0,NA,93.1,0.245,78,29,24,9,34,56,3.71,1,1007979,1,15
"152",1961,"Art Mahaffey","PHI",23,11,19,36,32,0,NA,219.1,0.272,205,110,100,27,70,158,3.79,2.9,1007979,2,15
"153",1962,"Art Mahaffey","PHI",24,19,14,41,39,0,NA,274,0.261,253,131,120,36,81,177,4.05,2.6,1007979,3,15
"154",1963,"Art Mahaffey","PHI",25,7,10,26,22,0,NA,149,0.271,143,73,66,18,48,97,3.81,0.5,1007979,4,15
"155",1964,"Art Mahaffey","PHI",26,12,9,34,29,0,NA,157.1,0.281,161,84,79,17,82,80,4.67,-0.7,1007979,5,15
"156",1915,"Art Nehf","BSN",22,5,4,12,10,0,NA,78.1,0.248,60,29,22,0,21,39,2.22,1.3,1009485,1,15
"157",1916,"Art Nehf","BSN",23,7,5,22,12,0,NA,121,0.257,110,40,27,1,20,36,2.4,1.3,1009485,2,15
"158",1917,"Art Nehf","BSN",24,17,8,38,23,0,NA,233.1,0.253,197,78,56,4,39,101,2.17,3.2,1009485,3,15
"159",1918,"Art Nehf","BSN",25,15,15,32,31,0,NA,284.1,0.276,274,107,85,2,76,96,2.51,3.1,1009485,4,15
"160",1919,"Art Nehf","- - -",26,17,11,35,31,0,NA,270.2,0.231,221,89,75,8,59,77,3.04,2.1,1009485,5,15
"161",1920,"Art Nehf","NYG",27,21,12,40,33,0,NA,280.2,0.266,273,113,96,8,45,79,3.05,3.5,1009485,6,55
"162",1921,"Art Nehf","NYG",28,20,10,41,34,1,NA,260.2,0.268,266,116,105,18,55,67,4.14,1.9,1009485,7,55
"163",1922,"Art Nehf","NYG",29,19,13,37,35,1,NA,268.1,0.276,286,122,98,15,64,60,4.05,2.5,1009485,8,55
"164",1923,"Art Nehf","NYG",30,13,10,34,27,2,NA,196,0.283,219,112,98,14,49,50,4.13,1.4,1009485,9,55
"165",1924,"Art Nehf","NYG",31,14,4,30,20,2,NA,171.2,0.264,167,75,69,14,42,72,4.03,1.4,1009485,10,55
"166",1991,"Arthur Rhodes","BAL",21,0,3,8,8,0,NA,36,0.347,47,35,32,4,23,23,4.94,0.1,1097,1,15
"167",1992,"Arthur Rhodes","BAL",22,7,5,15,15,0,NA,94.1,0.298,87,39,38,6,38,77,3.22,2,1097,2,15
"168",1993,"Arthur Rhodes","BAL",23,5,6,17,17,0,NA,85.2,0.276,91,62,62,16,49,49,6.02,-0.4,1097,3,15
"169",1994,"Arthur Rhodes","BAL",24,3,5,10,10,0,NA,52.2,0.285,51,34,34,8,30,47,5.14,0.5,1097,4,15
"170",1995,"Arthur Rhodes","BAL",25,2,5,19,9,0,NA,75.1,0.278,68,53,52,13,48,77,5.21,0.2,1097,5,15
"171",2000,"Barry Zito","OAK",22,7,4,14,14,0,NA,92.2,0.237,64,30,28,6,45,78,3.81,2.1,944,1,15
"172",2001,"Barry Zito","OAK",23,17,8,35,35,0,NA,214.1,0.283,184,92,83,18,80,205,3.53,4.8,944,2,15
"173",2002,"Barry Zito","OAK",24,23,5,35,35,0,0,229.1,0.245,182,79,70,24,78,182,3.87,4.5,944,3,15
"174",2003,"Barry Zito","OAK",25,14,12,35,35,0,0,231.2,0.239,186,98,85,19,88,146,4.05,4.4,944,4,15
"175",2004,"Barry Zito","OAK",26,11,11,34,34,0,0,213,0.291,216,116,106,28,81,163,4.5,3.1,944,5,15
"176",2005,"Barry Zito","OAK",27,14,13,35,35,0,0,228.1,0.243,185,106,98,26,89,171,4.34,3,944,6,55
"177",2006,"Barry Zito","OAK",28,16,10,34,34,0,0,221,0.281,211,99,94,27,99,151,4.89,2.2,944,7,55
"178",2007,"Barry Zito","SFG",29,11,13,34,33,0,0,196.2,0.26,182,105,99,24,83,131,4.82,1.6,944,8,55
"179",2008,"Barry Zito","SFG",30,10,17,32,32,0,0,180,0.295,186,115,103,16,102,120,4.72,1.3,944,9,55
"180",2009,"Barry Zito","SFG",31,10,13,33,33,0,0,192,0.285,179,89,86,21,81,154,4.31,2.1,944,10,55
"181",1997,"Bartolo Colon","CLE",24,4,7,19,17,0,NA,94,0.316,107,66,59,12,45,66,4.9,0.7,375,1,15
"182",1998,"Bartolo Colon","CLE",25,14,9,31,31,0,NA,204,0.303,205,91,84,15,79,158,3.75,4.4,375,2,15
"183",1999,"Bartolo Colon","CLE",26,18,5,32,32,0,NA,205,0.273,185,97,90,24,76,161,4.3,3.8,375,3,15
"184",2000,"Bartolo Colon","CLE",27,15,8,30,30,0,NA,188,0.301,163,86,81,21,98,212,3.96,4.3,375,4,15
"185",2001,"Bartolo Colon","CLE",28,14,12,34,34,0,NA,222.1,0.309,220,106,101,26,90,201,4,3.9,375,5,15
"186",2002,"Bartolo Colon","- - -",29,20,8,33,33,0,0,233.1,0.274,219,85,76,20,70,149,3.73,4.4,375,6,55
"187",2003,"Bartolo Colon","CHW",30,15,13,34,34,0,0,242,0.272,223,107,104,30,67,173,4.11,4.7,375,7,55
"188",2004,"Bartolo Colon","ANA",31,18,12,34,34,0,0,208.1,0.282,215,122,116,38,71,158,4.97,1.4,375,8,55
"189",2005,"Bartolo Colon","LAA",32,21,8,33,33,0,0,222.2,0.279,215,93,86,26,43,157,3.75,4.1,375,9,55
"190",2006,"Bartolo Colon","LAA",33,1,5,10,10,0,0,56.1,0.308,71,39,32,11,11,31,5.33,0.3,375,10,55
"191",2007,"Bartolo Colon","LAA",34,6,8,19,18,0,0,99.1,0.357,132,74,70,15,29,76,4.7,1,375,11,120
"192",2008,"Bartolo Colon","BOS",35,4,2,7,7,0,0,39,0.302,44,23,17,5,10,27,4.34,0.5,375,12,120
"193",2009,"Bartolo Colon","CHW",36,3,6,12,12,0,0,62.1,0.277,69,42,29,13,21,38,5.7,0.2,375,13,120
"194",2011,"Bartolo Colon","NYY",38,8,10,29,26,0,0,164.1,0.305,172,85,73,21,40,135,3.83,2.3,375,14,120
"195",2012,"Bartolo Colon","OAK",39,10,9,24,24,0,0,152.1,0.286,161,62,58,17,23,91,3.82,2.6,375,15,120
"196",2013,"Bartolo Colon","OAK",40,18,6,30,30,0,0,190.1,0.294,193,60,56,14,29,117,3.23,4,375,16,210
"197",2014,"Bartolo Colon","NYM",41,15,13,31,31,0,0,202.1,0.307,218,97,92,22,30,151,3.57,2.8,375,17,210
"198",2015,"Bartolo Colon","NYM",42,14,13,33,31,0,0,194.2,0.307,217,94,90,25,24,136,3.84,2.5,375,18,210
"199",2016,"Bartolo Colon","NYM",43,15,8,34,33,0,0,191.2,0.291,200,81,73,24,32,128,3.99,2.4,375,19,210
"200",2017,"Bartolo Colon","- - -",44,7,14,28,28,0,0,143,0.331,192,112,103,28,35,89,5.21,0.4,375,20,210
"201",1888,"Ben Sanders","PHI",23,19,10,31,29,0,NA,275.1,0.266,240,100,58,3,33,121,2.28,4.9,1011413,1,15
"202",1889,"Ben Sanders","PHI",24,19,18,44,39,1,NA,349.2,0.315,406,217,138,9,96,123,3.53,5.4,1011413,2,15
"203",1890,"Ben Sanders","PHQ",25,19,18,43,40,1,NA,346.2,0.314,412,237,145,13,69,107,3.44,5.9,1011413,3,15
"204",1891,"Ben Sanders","PHA",26,11,5,19,18,0,NA,145,0.295,157,85,61,3,37,40,3.16,2.1,1011413,4,15
