Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2013,Christian Bergman,COL,LEVEL,25,171,5.842105263,1.210526316,4.82608696,1.315789474,0.1627566,0.03372434,0.12903226,0.24770642,1.081871345,0.26447876,0.73548387,3.368421053,4.14992721,-0.781506157,3.458568796,10925
2013,Josh A. Smith,CIN,LEVEL,25,160,7.81875,2.8125,2.78,0.9,0.20623145,0.07418398,0.13204747,0.23987034,1.2375,0.28571429,0.76670318,3.2625,3.543880033,-0.281380033,3.496848987,10946
2012,Jake Buchanan,HOU,LEVEL,22,134.1,5.560808151,2.210923723,2.51515152,0.736974574,0.1394958,0.05546218,0.08403362,0.30755396,1.518614274,0.34632035,0.64234327,4.957828954,3.979853696,0.977975259,3.838514356,10962
2015,Tim Adleman,CIN,LEVEL,27,150,6.78,2.94,2.30612245,0.42,0.18494272,0.0801964,0.10474632,0.23928571,1.22,0.28863636,0.75913242,2.64,3.423600025,-0.783600025,3.509439379,10968
2014,Casey Lawrence,TOR,LEVEL,26,151.1,5.530849459,1.724673487,3.20689655,0.535243496,0.1485623,0.04632588,0.10223642,0.27058824,1.255509435,0.30831643,0.66889632,3.687232973,3.513320509,0.173912464,3.908515897,11121
2015,Casey Lawrence,TOR,LEVEL,27,161.1,5.076457004,1.785127738,2.84375,0.502067176,0.12871287,0.04526167,0.0834512,0.30906389,1.487606448,0.34729494,0.65387969,4.518604586,3.498069443,1.020535143,3.554518327,11121
2013,Eric Jokisch,CHC,LEVEL,23,160.2,7.674257582,3.02488985,2.53703704,0.784230702,0.20570571,0.08108108,0.12462463,0.2364532,1.232362531,0.28384279,0.71664829,3.417005201,3.404330235,0.012674965,3.378640178,11157
2013,David Buchanan,PHI,LEVEL,24,130.2,5.923453939,2.823972227,2.09756098,1.033160571,0.15167549,0.07231041,0.07936508,0.27307692,1.400506552,0.30310263,0.66071429,4.821415997,4.579848666,0.241567331,4.217835137,11176
2013,Casey Sadler,PIT,LEVEL,22,130.1,4.626610563,2.900263338,1.5952381,0.759592779,0.12523364,0.07850467,0.04672897,0.23966942,1.212279385,0.25862069,0.74538259,3.314586672,4.567719901,-1.253133229,4.455622478,11209
2012,Logan Darnell,MIN,LEVEL,23,156,5.653846154,2.711538462,2.08510638,1.269230769,0.1426492,0.06841339,0.07423581,0.30345912,1.538461538,0.33139535,0.71763602,5.076923077,4.759132356,0.317790721,4.140566549,11261
