"","wperip_year1","lperip_year1","gs_year1","ippergs_year1","babip_year1","hperip_year1","rperip_year1","erperip_year1","hrperip_year1","bbperip_year1","soperip_year1","fipperip_year1","warperip_year1","wperip_year2","lperip_year2","gs_year2","ippergs_year2","babip_year2","hperip_year2","rperip_year2","erperip_year2","hrperip_year2","bbperip_year2","soperip_year2","fipperip_year2","warperip_year2","wperip_year3","lperip_year3","gs_year3","ippergs_year3","babip_year3","hperip_year3","rperip_year3","erperip_year3","hrperip_year3","bbperip_year3","soperip_year3","fipperip_year3","warperip_year3","wperip_year4","lperip_year4","gs_year4","ippergs_year4","babip_year4","hperip_year4","rperip_year4","erperip_year4","hrperip_year4","bbperip_year4","soperip_year4","fipperip_year4","warperip_year4","wperip_year5","lperip_year5","gs_year5","ippergs_year5","babip_year5","hperip_year5","rperip_year5","erperip_year5","hrperip_year5","bbperip_year5","soperip_year5","fipperip_year5","warperip_year5"
"641",0.0695762175838077,0.0506008855154965,36,8.78333333333333,0.243,0.790638836179633,0.281467425679949,0.211891208096142,0.00632511068943707,0.249841872232764,0.385831752055661,0.00828589500316256,0.0120177103099304,0.0478755236385398,0.0718132854578097,23,7.26521739130435,0.296,1.00538599640934,0.478755236385398,0.323159784560144,0.0179533213644524,0.197486535008977,0.472770795930581,0.0138839018551765,0.0149611011370437,0.0480139676996945,0.0436490615451768,25,9.164,0.279,0.938454823221301,0.392841553906591,0.288083806198167,0,0.205150589262331,0.392841553906591,0.0097773897861196,0.0174596246180707,0.0681560015145778,0.0416508898144642,25,10.564,0.249,0.783794017417645,0.333207118515714,0.268837561529724,0.00378644452858766,0.159030670200682,0.424081787201817,0.00761075350246119,0.0196895115486558,0.0793231094658911,0.0264410364886304,24,7.87916666666667,0.263,0.898995240613432,0.32258064516129,0.216816499206769,0.00528820729772607,0.169222633527234,0.285563194077208,0.0120571126388154,0.0163934426229508
"642",0.0552181115405853,0.0496963003865268,19,9.53157894736842,0.263,0.850358917725014,0.425179458862507,0.298177802319161,0.0165654334621756,0.353395913859746,0.485919381557151,0.0151297625621204,0.00662617338487024,0.0802139037433155,0.0467914438502674,32,9.35,0.282,0.882352941176471,0.394385026737968,0.284090909090909,0.0100267379679144,0.330882352941176,0.608288770053476,0.00775401069518717,0.0160427807486631,0.0828863968795709,0.0438810336421258,25,8.204,0.251,0.814236957581667,0.326669917113603,0.22428083861531,0.00487567040468064,0.297415894685519,0.424183325207216,0.0121891760117016,0.0141394441735739,0.0645161290322581,0.0524193548387097,29,8.55172413793103,0.258,0.903225806451613,0.370967741935484,0.213709677419355,0.00403225806451613,0.342741935483871,0.338709677419355,0.01125,0.00967741935483871,0.0498753117206982,0.0124688279301746,9,8.91111111111111,0.251,0.872817955112219,0.286783042394015,0.13715710723192,0.0374064837905237,0.286783042394015,0.324189526184539,0.0364089775561097,0.00872817955112219
"643",0.067859346082665,0.0555212831585441,20,8.105,0.29,1.14127082048118,0.567550894509562,0.425663170882172,0.0431832202344232,0.277606415792721,0.277606415792721,0.0214065391733498,0.00616903146206046,0.0721003134796238,0.0407523510971787,39,8.17948717948718,0.284,1.04075235109718,0.426332288401254,0.332288401253919,0.0250783699059561,0.275862068965517,0.338557993730408,0.0102194357366771,0.0150470219435737,0.0757116898849182,0.0454270139309509,39,8.46666666666667,0.252,0.887341005451242,0.32404603270745,0.275590551181102,0.0302846759539673,0.263476680799515,0.375529981829194,0.0109024833434282,0.0169594185342217,0.0596590909090909,0.0482954545454545,38,9.26315789473684,0.266,0.948863636363636,0.363636363636364,0.3125,0.0284090909090909,0.235795454545455,0.420454545454545,0.009375,0.0193181818181818,0.0603188280913399,0.04739336492891,31,7.48709677419355,0.272,1.00387763894873,0.49116760017234,0.37914691943128,0.02585092632486,0.26712623869022,0.39207238259371,0.0144765187419216,0.017664799655321
"644",0.0558659217877095,0.0682805710738672,20,8.055,0.278,1.07386716325264,0.484171322160149,0.428305400372439,0.0310366232153942,0.360024829298572,0.291744258224705,0.024643078833023,0.0111731843575419,0.0504201680672269,0.046218487394958,32,7.4375,0.297,1.11764705882353,0.491596638655462,0.420168067226891,0.0336134453781513,0.247899159663866,0.298319327731092,0.0156302521008403,0.0168067226890756,0.0814332247557003,0.0488599348534202,25,7.368,0.298,1.10206297502714,0.456026058631922,0.396308360477742,0.0162866449511401,0.309446254071661,0.352877307274701,0.0183496199782845,0.0168295331161781,0.0362976406533575,0.0635208711433757,15,7.34666666666667,0.322,1.18874773139746,0.580762250453721,0.508166969147005,0.0181488203266788,0.372050816696915,0.353901996370236,0.0344827586206897,0.0127041742286751,0.0646444554947787,0.0447538538040776,27,7.44814814814815,0.268,1.10890104425659,0.487319741422178,0.417702635504724,0.0546991546494281,0.338140228741919,0.213823968175037,0.0211834908005967,0.00646444554947787
"645",0.0966702470461869,0.0537056928034372,9,10.3444444444444,0.307,1.08485499462943,0.504833512352309,0.440386680988185,0.0214822771213749,0.451127819548872,0.483351235230934,0.0329752953813104,0.0118152524167562,0.0909090909090909,0.0247933884297521,12,10.0833333333333,0.237,0.760330578512397,0.190082644628099,0.148760330578512,0.0165289256198347,0.338842975206612,0.454545454545455,0.0240495867768595,0.0190082644628099,0.04149377593361,0.04149377593361,7,6.88571428571429,0.296,0.975103734439834,0.394190871369295,0.37344398340249,0,0.24896265560166,0.580912863070539,0.0408713692946058,0.0311203319502075,0.071396697902722,0.0223114680946006,31,7.22903225806452,0.285,0.972780008924587,0.419455600178492,0.37483266398929,0.0535475234270415,0.33913431503793,0.548862115127175,0.0140116019634092,0.0223114680946006,0.0602409638554217,0.0662650602409639,25,6.64,0.287,1.07831325301205,0.548192771084337,0.5,0.0783132530120482,0.44578313253012,0.433734939759036,0.0250602409638554,0.0114457831325301
"646",0.0443458980044346,0.0443458980044346,8,5.6375,0.222,0.798226164079823,0.709534368070953,0.709534368070953,0.0886917960088692,0.909090909090909,0.509977827050998,0.119512195121951,-0.0133037694013304,0.037593984962406,0.093984962406015,9,5.91111111111111,0.275,0.864661654135338,0.789473684210526,0.657894736842105,0.037593984962406,0.958646616541353,0.676691729323308,0.0823308270676692,0,0.0647668393782383,0.0259067357512953,9,8.57777777777778,0.258,0.854922279792746,0.673575129533679,0.531088082901554,0.0518134715025907,0.764248704663212,0.466321243523316,0.0594559585492228,0.00259067357512953,0.0609260763606824,0.0528025995125914,34,7.24117647058824,0.236,0.78391551584078,0.410235580828595,0.345247766043867,0.0690495532087734,0.49553208773355,0.560519902518278,0.0162063363119415,0.0134037367993501,0.0641940085592011,0.0570613409415121,20,7.01,0.229,0.770328102710414,0.534950071326676,0.492154065620542,0.106990014265335,0.634807417974322,0.570613409415121,0.0336661911554922,0.00356633380884451
"647",0.0595238095238095,0.0744047619047619,10,6.72,0.303,1.10119047619048,0.520833333333333,0.461309523809524,0.0744047619047619,0.119047619047619,0.56547619047619,0.0467261904761905,0.0223214285714286,0.0537634408602151,0.0537634408602151,30,6.2,0.297,1.04301075268817,0.446236559139785,0.408602150537634,0.0806451612903226,0.17741935483871,0.629032258064516,0.0171505376344086,0.0161290322580645,0.0482425913163336,0.0413507925568573,21,6.90952380952381,0.293,1.12336319779462,0.551343900758098,0.482425913163336,0.124052377670572,0.186078566505858,0.516884906960717,0.0290144727773949,0.00827015851137147,0.0765306122448979,0.0510204081632653,7,5.6,0.268,1.02040816326531,0.612244897959184,0.612244897959184,0.153061224489796,0.178571428571429,0.663265306122449,0.115816326530612,0.0102040816326531,0.0608695652173913,0.0434782608695652,12,9.58333333333333,0.319,1.13913043478261,0.521739130434783,0.452173913043478,0.104347826086957,0.269565217391304,0.6,0.0360869565217391,0.0147826086956522
"648",0.0728787090057262,0.0416449765747007,30,6.40333333333333,0.26,0.890161374284227,0.406038521603332,0.343571056741281,0.0520562207183758,0.520562207183758,0.458094742321707,0.0205622071837585,0.00937011972930765,0.0496688741721854,0.0551876379690949,31,5.84516129032258,0.294,1.08719646799117,0.722958057395144,0.629139072847682,0.10485651214128,0.54635761589404,0.568432671081678,0.0257174392935982,0.00551876379690949,0.0683491062039958,0.0473186119873817,28,6.79285714285714,0.252,0.888538380651945,0.467928496319664,0.431125131440589,0.0841219768664564,0.410094637223975,0.509989484752892,0.0214511041009464,0.00946372239747634,0.0592885375494071,0.0592885375494071,15,6.74666666666667,0.274,1.05731225296443,0.622529644268775,0.602766798418972,0.138339920948617,0.375494071146245,0.464426877470356,0.0459486166007905,-0.000988142292490119,0.0411522633744856,0.0823045267489712,29,5.86551724137931,0.324,1.13462669018225,0.534979423868313,0.470311581422693,0.0529100529100529,0.476190476190476,0.599647266313933,0.0218694885361552,0.00881834215167548
"649",0.082256169212691,0.0528789659224442,31,5.49032258064516,0.277,1.03407755581669,0.475910693301998,0.440658049353702,0.135135135135135,0.305522914218566,0.522914218566393,0.0280258519388954,0.0099882491186839,0.061652281134402,0.0739827373612824,27,6.00740740740741,0.307,1.15906288532676,0.591861898890259,0.548705302096178,0.110974106041924,0.234278668310728,0.517879161528977,0.0265721331689272,0.0123304562268804,0.0769230769230769,0.0494505494505494,31,5.87096774193548,0.316,1.15384615384615,0.565934065934066,0.527472527472527,0.0989010989010989,0.252747252747253,0.571428571428571,0.0223076923076923,0.0126373626373626,0.056785917092561,0.0681431005110733,31,5.68064516129032,0.344,1.28336172629188,0.573537762634867,0.511073253833049,0.0908574673480977,0.249858035207269,0.607609312890403,0.0222032935831914,0.0170357751277683,0.0734463276836158,0.0451977401129944,29,6.10344827586207,0.315,1.04519774011299,0.491525423728814,0.480225988700565,0.101694915254237,0.23728813559322,0.80225988700565,0.0199435028248588,0.0163841807909605
"650",0.0734573947110676,0.0636630754162586,31,6.58709677419355,0.298,1.03330068560235,0.435847208619001,0.381978452497551,0.0881488736532811,0.200783545543585,0.631733594515181,0.0179725759059745,0.0146914789422135,0.0523255813953488,0.0872093023255814,28,6.14285714285714,0.332,1.13953488372093,0.598837209302326,0.546511627906977,0.145348837209302,0.22093023255814,0.866279069767442,0.0240116279069767,0.00988372093023256,0.0986547085201794,0.0179372197309417,33,6.75757575757576,0.269,0.865470852017937,0.381165919282511,0.349775784753363,0.103139013452915,0.143497757847534,0.847533632286996,0.0152466367713004,0.0228699551569507,0.0541605120630231,0.0837026095519449,33,6.15454545454545,0.324,1.16198916789759,0.615460364352536,0.51698670605613,0.187099950763171,0.236336779911374,0.891186607582472,0.0226489414081733,0.00984736582964057,0.0889586603872318,0.0366300366300366,33,5.79090909090909,0.285,0.926216640502355,0.507587650444793,0.476190476190476,0.141287284144427,0.251177394034537,0.994243851386709,0.0209837781266353,0.0125588697017268
