Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2006,John Barnes,BOS,LEVEL,30,1,4,3.230769231,9,5,0,0,0,0,,39,175,27,20,14,2,28,0,6,6,0,33,1000567
2010,Taylor Thompson,CHW,LEVEL,23,0,1,2.197671835,18,0,0,0,6,1,,28.2,118,24,9,7,0,10,2,1,3,0,32,10019
2009,Mike Minor,ATL,LEVEL,21,0,1,0.642857143,4,4,0,0,0,0,,14,48,10,1,1,0,0,0,0,0,0,17,10021
2014,Mike Minor,ATL,LEVEL,26,0,0,0,1,1,0,0,0,0,,5,17,1,0,0,0,1,0,0,0,0,4,10021
2011,Patrick Schuster,ARI,LEVEL,20,7,4,3.327731092,27,14,0,0,0,1,,119,493,106,52,44,7,41,0,9,3,1,84,10029
2011,Keyvius Sampson,SDP,LEVEL,20,12,3,2.898305085,24,24,0,0,0,0,,118,481,81,42,38,8,49,0,6,7,2,143,10039
2011,Ashur Tolliver,BAL,LEVEL,23,1,2,2.268905745,24,0,0,0,0,1,,39.2,164,35,10,10,3,16,2,0,5,0,41,10044
2013,Ashur Tolliver,BAL,LEVEL,25,0,0,3.63462245,7,0,0,0,1,0,,17.1,70,15,7,7,2,5,0,0,1,0,20,10044
2010,Tyler Matzek,COL,LEVEL,19,5,1,2.921642955,18,18,0,0,0,0,,89.1,376,62,31,29,6,62,0,4,7,3,88,10058
2011,Tyler Matzek,COL,LEVEL,20,5,4,4.359375,12,12,0,0,0,0,,64,279,45,35,31,3,50,0,2,14,0,74,10058
2009,Johnny Hellweg,LAA,LEVEL,20,0,0,1.349999356,5,0,0,0,2,0,,6.2,34,4,3,1,0,7,0,2,2,0,7,10065
2010,Johnny Hellweg,LAA,LEVEL,21,2,4,4.328241124,41,0,0,0,16,3,,43.2,201,20,21,21,2,45,0,4,9,0,66,10065
2013,Johnny Hellweg,MIL,LEVEL,24,1,0,3,1,1,0,0,0,0,,6,26,5,2,2,0,2,0,1,0,0,4,10065
2010,Ian Krol,OAK,LEVEL,19,9,4,2.65448693,24,23,0,0,0,0,,118.2,476,98,42,35,5,19,1,7,2,3,91,10066
2014,Ian Krol,DET,LEVEL,23,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,10066
2012,Caleb Cotham,NYY,LEVEL,24,3,1,2.307692308,8,8,0,0,0,0,,39,149,32,11,10,1,7,0,0,0,0,32,10075
2010,Caleb Thielbar,MIL,LEVEL,23,0,2,5.603773585,30,0,0,0,3,1,,53,241,65,41,33,6,14,3,0,0,0,43,10078
2011,Keith Butler,STL,LEVEL,22,0,1,1.173915623,12,0,0,0,5,0,,15.1,57,7,2,2,0,5,1,0,1,0,16,10080
2011,Stephen Strasburg,WSN,LEVEL,22,0,1,9.947373414,3,3,0,0,0,0,,6.1,33,9,8,7,1,3,0,1,1,0,13,10131
2010,Ryan Weber,ATL,LEVEL,19,2,5,5.128488888,18,6,0,0,0,1,,59.2,264,74,45,34,5,14,0,2,2,0,39,10160
2011,Ryan Weber,ATL,LEVEL,20,2,0,2.679387362,13,6,0,0,2,0,,43.2,174,36,15,13,2,8,0,4,1,2,32,10160
2012,Ryan Weber,ATL,LEVEL,21,5,5,5.875,16,11,0,0,0,0,,72,318,86,52,47,4,16,0,4,0,0,54,10160
2010,Jose Ramirez,NYY,LEVEL,20,6,5,3.6,22,21,0,0,0,0,,115,501,106,56,46,3,42,0,9,20,0,105,10171
2011,Jose Ramirez,NYY,LEVEL,21,5,7,4.898734177,15,15,0,0,0,0,,79,347,84,51,43,9,32,0,4,6,1,74,10171
2010,Edgar Olmos,FLA,LEVEL,20,3,9,4.372171505,25,25,0,0,0,0,,117.1,533,122,68,57,9,59,0,16,7,2,108,10174
2009,Melvin Mercedes,DET,LEVEL,18,0,1,11.57144552,3,0,0,0,0,0,,2.1,12,1,4,3,0,3,0,0,0,0,1,10181
2010,Melvin Mercedes,DET,LEVEL,19,1,2,5.03388968,15,0,0,0,3,0,,19.2,94,16,11,11,0,19,1,3,2,0,12,10181
2011,Melvin Mercedes,DET,LEVEL,20,0,0,10.79997863,2,0,0,0,0,0,,1.2,10,3,2,2,0,1,0,1,0,0,1,10181
2012,Melvin Mercedes,DET,LEVEL,21,0,3,2.79792901,37,0,0,0,9,1,,64.1,261,54,25,20,3,23,0,2,4,1,43,10181
2010,Jacob Turner,DET,LEVEL,19,2,3,3.666666667,11,10,0,0,0,0,,54,228,53,26,22,4,9,0,1,1,0,51,10185
2010,Tyler Skaggs,LAA,LEVEL,18,8,4,3.607289009,19,14,0,0,0,0,,82.1,341,78,35,33,6,21,1,4,1,1,82,10190
2010,Tyler Skaggs,ARI,LEVEL,18,1,1,1.6875,4,4,0,0,0,0,,16,62,13,3,3,1,4,0,0,1,0,20,10190
2009,Shelby Miller,STL,LEVEL,18,0,0,6,2,2,0,0,0,0,,3,16,5,3,2,0,2,0,0,0,0,2,10197
2010,Shelby Miller,STL,LEVEL,19,7,5,3.623014764,24,24,0,0,0,0,,104.1,439,97,51,42,7,33,0,3,2,1,140,10197
2014,Aroldis Chapman,CIN,LEVEL,26,0,0,0,2,2,0,0,0,0,,2,6,0,0,0,0,1,0,0,0,0,3,10233
2008,Bryan Morris,PIT,LEVEL,21,0,2,5.023267623,3,3,0,0,0,0,,14.1,72,17,9,8,2,12,0,0,4,0,11,10234
2008,Bryan Morris,LAD,LEVEL,21,2,4,3.195916974,17,17,1,1,0,0,,81.2,342,74,34,29,5,31,0,2,7,0,72,10234
2010,Ariel Pena,LAA,LEVEL,21,7,5,3.757281553,18,18,1,0,0,0,,103,457,93,51,43,7,60,1,7,8,1,88,10240
2010,Justin Marks,OAK,LEVEL,22,3,12,4.9239972,20,20,0,0,0,0,,109.2,473,109,66,60,11,41,0,9,7,0,119,10265
2015,Josh Smoker,NYM,LEVEL,26,1,0,8.099996138,6,0,0,0,0,1,,6.2,33,11,6,6,0,2,0,0,1,0,8,10285
2008,Josh Smoker,WSN,LEVEL,19,0,4,11.5,5,5,0,0,0,0,,18,98,31,27,23,5,9,0,1,1,0,21,10285
2010,Josh Smoker,WSN,LEVEL,21,3,10,6.50365217,30,19,0,0,3,0,,91.1,426,106,73,66,15,56,1,4,8,1,92,10285
2012,Josh Smoker,WSN,LEVEL,23,0,1,15,2,0,0,0,1,0,,3,15,3,5,5,1,4,0,0,1,0,1,10285
2008,Adam Eaton,PHI,LEVEL,30,0,1,9.818172668,1,1,0,0,0,0,,3.2,16,5,4,4,1,1,0,0,0,0,2,1029
2010,Ryan Tepera,TOR,LEVEL,22,9,6,3.975,24,22,0,0,0,0,,120,502,113,61,53,7,44,1,4,11,0,79,10291
2010,Chad Bell,TEX,LEVEL,21,3,3,2.983426986,26,4,1,0,0,1,,60.1,252,51,29,20,5,18,0,0,6,0,50,10297
2014,Chad Bell,TEX,LEVEL,25,2,0,4.101271071,6,6,1,0,0,0,,26.1,113,32,13,12,5,7,0,0,0,0,14,10297
2010,Chris Heston,SFG,LEVEL,22,5,13,3.753354625,26,26,1,0,0,0,,148.2,642,161,83,62,6,33,0,9,12,1,124,10302
2010,Jarred Cosart,PHI,LEVEL,20,7,3,3.785048618,14,14,1,1,0,0,,71.1,293,60,34,30,3,16,0,5,7,0,77,10304
2010,Roman Mendez,BOS,LEVEL,19,0,2,11.4,6,6,0,0,0,0,,15,88,29,24,19,5,10,0,4,1,0,18,10307
2011,Roman Mendez,TEX,LEVEL,20,9,1,3.307692308,26,20,0,0,1,0,,117,509,117,44,43,7,45,0,6,11,1,130,10307
2010,Zack Wheeler,SFG,LEVEL,20,3,3,3.988634202,21,13,0,0,0,0,,58.2,262,47,27,26,0,38,0,7,13,2,70,10310
2010,Erasmo Ramirez,SEA,LEVEL,20,10,4,2.9670263,26,23,1,0,1,0,,151.2,611,142,63,50,13,21,0,13,2,0,117,10314
2010,Michael Tonkin,MIN,LEVEL,20,3,6,4.292307692,13,12,0,0,0,0,,65,292,76,43,31,7,18,0,8,7,0,40,10315
2011,Michael Tonkin,MIN,LEVEL,21,4,3,3.873911244,48,3,0,0,2,3,,76.2,338,82,41,33,3,24,1,8,6,0,69,10315
2012,Michael Tonkin,MIN,LEVEL,22,3,0,1.384615385,22,0,0,0,6,3,,39,154,29,8,6,1,9,1,1,5,0,53,10315
2010,Chad Jenkins,TOR,LEVEL,22,5,4,3.63025373,13,13,1,0,0,0,,79.1,332,87,35,32,5,13,0,1,3,0,64,10326
2010,Giovanni Soto,CLE,LEVEL,19,3,2,3.774193548,6,6,0,0,0,0,,31,124,22,13,13,5,11,0,4,1,0,31,10330
2010,Giovanni Soto,DET,LEVEL,19,6,6,2.6129021,16,16,2,2,0,0,,82.2,340,75,29,24,2,25,0,6,4,0,76,10330
2010,Nick Christiani,CIN,LEVEL,22,1,0,3.857142857,7,0,0,0,1,2,,14,55,12,6,6,1,2,0,0,0,0,12,10332
2015,Edwin Escobar,BOS,LEVEL,23,0,0,0,1,1,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,0,10337
2011,Edwin Escobar,SFG,LEVEL,19,1,3,18,4,2,0,0,0,1,,6,41,15,15,12,0,5,0,1,1,0,5,10337
2012,Edwin Escobar,SFG,LEVEL,20,7,8,2.96172697,22,22,0,0,0,0,,130.2,547,121,57,43,7,32,0,7,10,2,122,10337
2010,Juan Minaya,HOU,LEVEL,19,4,12,4.793721172,26,26,0,0,0,0,,127.2,577,111,80,68,7,73,0,21,22,0,96,10341
2011,Juan Minaya,HOU,LEVEL,20,1,5,6.896103896,28,9,0,0,1,0,,77,364,89,66,59,6,57,0,5,10,1,76,10341
2013,Juan Minaya,HOU,LEVEL,22,3,6,4.774387468,24,5,0,0,8,3,,54.2,255,63,34,29,5,23,1,4,3,0,57,10341
2010,Aaron Loup,TOR,LEVEL,22,3,2,4.540911296,35,5,0,0,2,2,,73.1,309,79,37,37,4,22,1,5,3,0,73,10343
2010,Robbie Erlin,TEX,LEVEL,19,6,3,2.119179889,28,17,0,0,1,0,,114.2,447,89,37,27,9,17,0,4,4,0,125,10354
2012,Carlos Contreras,CIN,LEVEL,21,0,1,3.197366415,40,0,0,0,16,4,,50.2,205,29,22,18,6,19,1,3,3,0,51,10386
2012,Brooks Pounders,KCR,LEVEL,21,3,2,3.374997882,12,8,0,0,0,1,,50.2,229,52,32,19,2,19,0,3,5,0,57,10387
2011,Brooks Pounders,PIT,LEVEL,20,5,5,3.681818182,36,1,0,0,3,2,,66,283,61,29,27,9,14,0,13,4,0,72,10387
2013,Mychal Givens,BAL,LEVEL,23,2,3,4.218746857,28,0,0,0,3,1,,42.2,179,34,20,20,1,19,0,3,11,1,36,10430
2010,Taylor Jordan,WSN,LEVEL,21,0,1,13.50001384,1,0,0,0,0,0,,3.1,18,4,5,5,0,3,0,1,0,0,5,10466
2011,Taylor Jordan,WSN,LEVEL,22,9,4,2.480566307,18,17,1,1,0,1,,94.1,399,90,38,26,1,23,0,6,4,0,63,10466
2012,Taylor Jordan,WSN,LEVEL,23,3,4,4.05,9,9,0,0,0,0,,40,178,52,22,18,2,9,0,6,0,3,28,10466
2011,Shawn Tolleson,LAD,LEVEL,23,1,0,0,14,0,0,0,10,0,,15,56,8,1,0,0,4,0,0,2,0,33,10481
2010,Yoervis Medina,SEA,LEVEL,21,5,0,2.5,6,6,0,0,0,0,,36,151,30,10,10,3,12,0,2,3,0,42,10498
2011,Mario Hollands,PHI,LEVEL,22,6,6,4.238906305,28,15,0,0,0,0,,97.2,429,109,53,46,5,36,2,2,4,0,73,10504
2012,Mario Hollands,PHI,LEVEL,23,0,1,4.569223663,9,2,0,0,0,0,,21.2,92,25,11,11,1,7,1,0,3,0,21,10504
2011,Hunter Cervenka,BOS,LEVEL,21,0,2,10.8,7,0,0,0,0,1,,20,98,22,24,24,2,18,0,2,4,0,18,10510
2012,Hunter Cervenka,BOS,LEVEL,22,0,3,8.042535893,9,0,0,0,0,2,,15.2,75,15,17,14,1,12,0,1,1,0,24,10510
2012,Hunter Cervenka,CHC,LEVEL,22,3,0,2.541179493,15,0,0,0,1,0,,28.1,114,23,13,8,1,10,0,0,2,0,28,10510
2011,Drew Hayes,CIN,LEVEL,23,2,2,1.35,51,0,0,0,22,1,,60,235,29,9,9,2,27,1,2,4,0,89,10528
2010,Dean Kiekhefer,STL,LEVEL,21,0,0,5.142857143,14,1,0,0,1,0,,28,127,30,17,16,3,9,1,2,2,0,29,10529
2011,Dean Kiekhefer,STL,LEVEL,22,4,1,1.263157895,34,0,0,0,8,0,,57,212,35,8,8,1,12,0,4,0,0,46,10529
2010,Jake Petricka,CHW,LEVEL,22,0,1,3.724136706,9,0,0,0,0,0,,9.2,55,13,11,4,0,8,0,1,4,0,10,10534
2011,Jake Petricka,CHW,LEVEL,23,3,1,2.807997858,8,8,0,0,0,0,,41.2,169,39,14,13,0,13,0,0,4,0,48,10534
2011,Jimmy Nelson,MIL,LEVEL,22,8,9,4.376712329,26,25,1,0,0,0,,146,630,146,81,71,9,65,0,6,13,1,120,10547
2019,Jimmy Nelson,MIL,LEVEL,30,0,0,9,1,0,0,0,0,0,,1,5,2,1,1,0,0,0,0,0,0,1,10547
2012,Daniel Webb,CHW,LEVEL,22,1,8,5.806451613,31,4,0,0,3,5,,62,287,73,51,40,2,27,0,3,7,0,50,10558
2010,Daniel Webb,TOR,LEVEL,20,1,1,2.31427903,2,2,0,0,0,0,,11.2,50,8,7,3,0,6,0,1,2,0,4,10558
2011,Daniel Webb,TOR,LEVEL,21,4,5,5.590909091,18,12,0,0,2,0,,66,299,80,53,41,7,24,0,6,3,1,51,10558
2011,Addison Reed,CHW,LEVEL,22,0,0,1.125,4,0,0,0,0,0,,8,29,4,1,1,0,1,0,0,1,0,11,10586
2010,Chad Bettis,COL,LEVEL,21,2,0,0.964283974,3,3,0,0,0,0,,18.2,71,14,2,2,1,3,0,0,0,0,17,10587
2012,Scott Alexander,KCR,LEVEL,22,2,3,2.547172103,10,6,0,0,0,1,,35.1,157,34,21,10,2,16,1,2,4,0,31,10591
2013,Scott Alexander,KCR,LEVEL,23,1,1,1.2,5,0,0,0,1,1,,15,56,7,3,2,0,6,0,1,0,0,15,10591
2011,Seth Rosin,SFG,LEVEL,22,2,3,3.337078652,39,10,0,0,2,1,,89,365,81,44,33,3,30,0,2,2,0,93,10606
2006,Ryan Tucker,FLA,LEVEL,19,7,13,5.002551052,25,25,2,0,0,0,,131.1,580,123,86,73,14,67,1,7,11,2,133,1062
2011,Donn Roach,LAA,LEVEL,21,5,5,3.454978052,45,0,0,0,2,3,,70.1,305,73,33,27,1,20,1,3,11,0,68,10620
2012,Madison Younginer,BOS,LEVEL,21,1,8,7.288347823,13,12,0,0,0,0,,54.1,258,72,52,44,8,30,0,2,6,0,44,10636
2013,Madison Younginer,BOS,LEVEL,22,2,0,5.586216633,13,0,0,0,0,0,,19.1,91,19,12,12,1,14,0,0,3,0,30,10636
2012,Andrew Bellatti,TBR,LEVEL,20,7,3,2.967032967,40,1,0,0,5,4,,91,376,74,33,30,9,30,4,5,6,0,99,10657
2010,Stephen Pryor,SEA,LEVEL,20,0,2,3.705882353,12,0,0,0,1,2,,17,76,17,12,7,0,6,0,1,3,1,29,10663
2011,Tyler Thornburg,MIL,LEVEL,22,7,0,1.572814718,12,12,2,1,0,0,,68.2,274,49,14,12,3,25,0,4,5,3,76,10688
2010,Scott Copeland,BAL,LEVEL,22,1,0,0,1,1,0,0,0,0,,6,23,5,0,0,0,2,0,0,0,0,4,10706
2011,Scott Copeland,BAL,LEVEL,23,5,9,6.583333333,20,20,0,0,0,0,,108,501,136,88,79,10,46,0,7,14,0,55,10706
2011,Red Patterson,LAD,LEVEL,24,5,4,3.43032937,14,14,1,0,0,0,,81.1,327,70,33,31,5,20,1,4,1,0,79,10710
2010,Drew Hutchison,TOR,LEVEL,19,1,2,1.521124595,5,5,0,0,0,0,,23.2,99,17,7,4,1,7,0,2,0,1,19,10732
2011,Drew Hutchison,TOR,LEVEL,20,6,2,2.625,14,14,0,0,0,0,,72,303,68,29,21,1,19,0,3,2,0,84,10732
2011,Trevor Rosenthal,STL,LEVEL,21,7,7,4.113584796,22,22,1,0,0,0,,120.1,509,111,62,55,7,39,0,13,7,0,133,10745
2010,Shane Greene,NYY,LEVEL,21,0,2,4.576263346,4,4,0,0,0,0,,19.2,82,14,10,10,1,8,0,5,1,0,22,10756
2011,Shane Greene,NYY,LEVEL,22,5,14,4.369565217,27,27,0,0,0,0,,138,615,141,88,67,9,68,0,10,14,0,128,10756
2016,Shane Greene,DET,LEVEL,27,0,0,0,1,1,0,0,0,0,,3,12,2,0,0,0,1,0,0,0,0,5,10756
2009,Freddy Garcia,CHW,LEVEL,32,0,0,0,1,1,0,0,0,0,,3,10,2,0,0,0,1,0,0,0,0,3,1077
2011,Tyler Cravy,MIL,LEVEL,21,3,2,5.754107896,15,0,0,0,0,2,,20.1,98,27,14,13,0,10,0,0,7,0,29,10770
2012,Tyler Cravy,MIL,LEVEL,22,2,5,3.374997882,24,0,0,0,3,0,,50.2,218,45,24,19,5,15,2,7,10,0,53,10770
2010,Josh Edgin,NYM,LEVEL,23,0,0,0,2,0,0,0,0,0,,3,11,3,0,0,0,0,0,0,0,0,5,10796
2011,Josh Edgin,NYM,LEVEL,24,1,0,0.870967742,24,0,0,0,16,1,,31,118,14,4,3,0,10,1,0,3,0,41,10796
2011,Mike Foltynewicz,HOU,LEVEL,19,5,11,4.970149254,26,26,0,0,0,0,,134,581,149,84,74,10,51,0,7,8,1,88,10811
2012,Mike Foltynewicz,HOU,LEVEL,20,14,4,3.138157895,27,27,0,0,0,0,,152,653,145,65,53,11,62,0,5,6,0,125,10811
2011,R.J. Alaniz,HOU,LEVEL,20,7,10,4.435145727,27,21,0,0,0,2,,115.2,503,111,78,57,11,38,0,9,3,1,96,10819
2011,Adam Kolarek,NYM,LEVEL,22,7,0,2.221517646,21,1,0,0,5,1,,52.2,221,41,16,13,1,19,1,6,2,0,55,10843
2011,Chasen Shreve,ATL,LEVEL,20,5,6,3.857142857,34,0,0,0,4,2,,70,308,77,33,30,3,26,4,2,15,0,68,10855
2012,Ken Roberts,COL,LEVEL,24,4,1,1.852941176,50,0,0,0,0,1,,68,265,53,16,14,4,9,0,3,7,0,56,10938
2010,Josh A. Smith,CIN,LEVEL,22,1,1,2.131573277,7,0,0,0,1,0,,12.2,54,8,4,3,1,6,0,1,0,0,15,10946
2011,Josh A. Smith,CIN,LEVEL,23,14,7,2.971904071,26,26,0,0,0,0,,142.1,579,122,57,47,10,33,0,8,5,0,166,10946
2015,Josh A. Smith,CIN,LEVEL,27,0,0,0,1,1,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,10946
2012,Jacob deGrom,NYM,LEVEL,24,6,3,2.509292684,15,15,0,0,0,0,,89.2,363,77,33,25,3,14,0,1,2,1,78,10954
2011,Tim Adleman,BAL,LEVEL,23,5,7,6.011323178,28,9,0,0,0,3,,88.1,416,123,70,59,10,24,1,10,9,0,72,10968
2011,Ryan O'Rourke,MIN,LEVEL,23,5,5,3.181278488,34,17,0,0,1,0,,110.1,472,116,45,39,7,32,1,2,5,2,107,10976
2012,Ryan O'Rourke,MIN,LEVEL,24,2,5,5.591719132,29,2,0,0,2,4,,56.1,244,61,38,35,7,16,2,0,6,0,56,10976
2011,Ben Rowen,TEX,LEVEL,22,5,4,1.983050847,33,0,0,0,2,1,,59,245,55,26,13,1,18,0,1,1,1,43,10983
2006,Horacio Ramirez,ATL,LEVEL,26,0,0,3.85714023,1,1,0,0,0,0,,4.2,20,5,2,2,1,3,0,0,0,0,1,110
2012,Kevin Shackelford,MIL,LEVEL,23,3,5,4.056997064,27,3,0,0,5,1,,64.1,281,70,30,29,4,23,2,4,3,1,43,11012
2011,Chris Rearick,TBR,LEVEL,23,7,2,1.659836792,50,0,0,0,20,5,,81.1,315,49,18,15,3,16,0,7,6,1,89,11050
2010,Casey Lawrence,TOR,LEVEL,22,1,1,3.983613159,4,3,0,0,1,0,,20.1,83,21,9,9,1,3,0,3,1,0,13,11121
2011,Casey Lawrence,TOR,LEVEL,23,11,8,3.079567433,22,21,2,0,0,0,,125.2,519,123,57,43,9,22,0,1,1,2,97,11121
2007,Aaron Fultz,CLE,LEVEL,33,0,0,0,1,0,0,0,0,0,,1,3,0,0,0,0,0,0,0,0,0,1,1113
2011,A.J. Griffin,OAK,LEVEL,23,4,0,1.557692308,8,8,0,0,0,0,,52,202,36,10,9,2,5,0,2,0,0,46,11132
2011,Mike Bolsinger,ARI,LEVEL,23,6,6,2.655729002,32,13,0,0,0,0,,101.2,398,84,35,30,6,25,0,1,6,0,91,11137
2010,Merrill Kelly,TBR,LEVEL,21,0,1,7.163280084,5,2,0,0,0,0,,16.1,72,15,15,13,1,8,0,2,0,1,10,11156
2011,Eric Jokisch,CHC,LEVEL,21,9,3,2.957856865,25,11,0,0,1,0,,118.2,483,106,41,39,13,32,0,3,2,4,103,11157
2014,Yhonathan Barrios,PIT,LEVEL,22,2,6,4.695656068,26,0,0,0,4,3,,38.1,184,51,26,20,2,16,0,4,5,0,38,11166
2011,David Buchanan,PHI,LEVEL,22,11,5,3.384,20,20,1,0,0,0,,125,510,115,60,47,6,32,0,4,12,0,86,11176
2006,Marco Estrada,WSN,LEVEL,22,1,4,5.594594595,8,8,0,0,0,0,,37,166,44,23,23,6,14,0,4,2,0,29,1118
2007,Marco Estrada,WSN,LEVEL,23,1,5,5.25,8,8,0,0,0,0,,36,163,39,24,21,4,17,0,1,0,0,35,1118
2013,Marco Estrada,MIL,LEVEL,29,0,1,20.24997405,1,1,0,0,0,0,,2.2,17,8,6,6,1,1,0,0,1,0,5,1118
2013,Vince Velasquez,HOU,LEVEL,21,9,4,3.190909091,25,16,0,0,3,1,,110,453,90,43,39,7,33,0,6,5,1,123,11189
2010,C.J. Riefenhauser,TBR,LEVEL,20,1,0,1,2,2,0,0,0,0,,9,36,7,1,1,0,1,0,0,0,0,4,11193
2011,C.J. Riefenhauser,TBR,LEVEL,21,6,5,2.309218118,18,18,1,1,0,0,,101.1,397,77,32,26,7,25,0,2,2,1,99,11193
2011,Grant Dayton,FLA,LEVEL,23,7,1,2.888370658,49,0,0,0,5,0,,71.2,300,59,25,23,5,24,2,5,3,0,99,11203
2011,Casey Sadler,PIT,LEVEL,20,5,5,2.429998702,35,0,0,0,4,2,,66.2,268,51,20,18,5,17,0,7,6,0,57,11209
2012,Aaron Barrett,WSN,LEVEL,24,3,2,2.596151465,31,0,0,0,16,2,,34.2,139,25,12,10,2,11,0,0,6,1,52,11243
2010,Rob Rasmussen,FLA,LEVEL,21,0,0,1.349999356,5,0,0,0,0,0,,6.2,27,6,2,1,0,2,0,0,1,0,4,11250
2010,Josh Spence,SDP,LEVEL,22,2,2,3.705882353,7,3,0,0,0,1,,17,69,14,7,7,2,6,0,1,1,0,31,11260
2011,Logan Darnell,MIN,LEVEL,22,2,2,3.780003605,6,6,0,0,0,0,,33.1,136,24,17,14,1,8,0,3,1,0,24,11261
2011,Lisalverto Bonilla,PHI,LEVEL,21,4,5,2.801886792,26,15,1,0,4,0,,106,438,91,38,33,8,29,3,2,2,0,95,11266
2011,Zach Neal,FLA,LEVEL,22,7,6,4.159663866,22,22,0,0,0,0,,119,518,124,61,55,12,41,1,15,3,0,84,11294
2017,Tyler Lyons,STL,LEVEL,29,0,1,6.74999135,1,1,0,0,0,0,,2.2,11,4,2,2,0,0,0,0,1,0,1,11334
2011,Sean Nolin,TOR,LEVEL,21,4,4,3.489241499,25,21,0,0,1,0,,108.1,447,102,56,42,9,31,0,4,4,1,113,11341
2011,Seth Frankoff,OAK,LEVEL,22,0,1,11.25,5,5,0,0,0,0,,12,65,21,16,15,0,9,0,2,3,0,7,11346
2012,Seth Frankoff,OAK,LEVEL,23,5,7,4.830686352,36,9,0,0,1,1,,104.1,445,107,61,56,11,40,2,8,8,0,84,11346
2011,Pat Dean,MIN,LEVEL,22,2,0,2.863636364,8,8,0,0,0,0,,44,179,40,15,14,4,9,0,1,4,0,37,11350
2011,Brandon Cumpton,PIT,LEVEL,22,7,4,4.298507463,13,12,0,0,0,0,,67,280,60,34,32,6,18,0,9,3,0,48,11366
2015,Jerome Williams,PHI,LEVEL,33,0,0,9,1,1,0,0,0,0,,4,19,6,4,4,1,0,0,1,1,0,5,1137
2013,Tyrell Jenkins,STL,LEVEL,20,4,4,4.7432463,10,10,2,1,0,0,,49.1,218,51,28,26,4,24,0,1,4,0,34,11378
2012,Tyrell Jenkins,STL,LEVEL,19,4,4,5.137654044,19,19,0,0,0,0,,82.1,359,84,53,47,5,36,0,3,11,0,80,11378
2011,Tommy Kahnle,NYY,LEVEL,21,3,5,4.222222222,40,0,0,0,2,3,,81,363,69,50,38,1,49,0,1,11,1,112,11384
2018,Tommy Kahnle,NYY,LEVEL,28,0,1,4.5,1,1,0,0,0,0,,2,8,3,1,1,1,0,0,0,0,0,2,11384
2011,A.J. Achter,MIN,LEVEL,22,5,8,4.515048554,19,19,0,0,0,0,,99.2,427,97,59,50,13,35,0,4,6,1,108,11387
2012,A.J. Achter,MIN,LEVEL,23,3,1,2.475,18,1,0,0,0,2,,40,161,33,17,11,5,12,1,1,5,0,49,11387
2010,Danny Barnes,TOR,LEVEL,20,0,0,5.906231342,8,0,0,0,0,0,,10.2,57,17,8,7,0,8,1,1,2,0,16,11388
2011,Danny Barnes,TOR,LEVEL,21,5,1,2.318181818,44,2,0,0,13,3,,66,263,44,20,17,3,20,2,2,3,0,99,11388
2011,Danny Burawa,NYY,LEVEL,22,3,2,3.62686309,19,0,0,0,3,2,,44.2,182,36,21,18,6,15,0,5,6,0,35,11397
2007,Josh Butler,TBD,LEVEL,22,5,1,2.327587279,13,13,0,0,0,0,,77.1,310,63,25,20,3,20,0,6,5,0,54,1141
2010,Jose Quintana,NYY,LEVEL,21,0,1,4.695662493,5,3,0,0,0,0,,15.1,68,11,10,8,1,10,0,1,0,0,12,11423
2011,Anthony Ranaudo,BOS,LEVEL,21,4,1,3.326086957,10,10,0,0,0,0,,46,188,35,20,17,4,16,0,4,1,0,50,11424
2011,Brandon Workman,BOS,LEVEL,22,6,7,3.709923664,26,26,0,0,0,0,,131,540,128,67,54,10,33,0,5,6,1,115,11428
2011,A.J. Schugel,LAA,LEVEL,22,4,3,2.590406925,25,12,0,0,1,2,,90.1,382,73,34,26,2,39,0,7,10,0,80,11432
2011,Jesse Biddle,PHI,LEVEL,19,7,8,2.977443609,25,24,0,0,0,0,,133,553,104,51,44,5,66,0,3,9,0,124,11437
2012,Johnny Barbato,SDP,LEVEL,19,6,1,1.840909985,48,0,0,0,3,3,,73.1,303,52,23,15,4,31,1,2,4,0,84,11440
2011,Matt Grace,WSN,LEVEL,22,12,7,5.168779054,26,25,0,0,0,0,,132.1,591,169,92,76,8,38,0,6,11,0,85,11449
2010,Sammy Solis,WSN,LEVEL,21,0,0,0,2,2,0,0,0,0,,4,14,2,0,0,0,0,0,0,0,0,3,11457
2011,Sammy Solis,WSN,LEVEL,22,2,1,4.016532091,7,7,0,0,0,0,,40.1,169,39,18,18,3,12,0,2,5,0,40,11457
2014,Sammy Solis,WSN,LEVEL,25,1,0,0,1,1,0,0,0,0,,6,21,4,0,0,0,0,0,0,0,0,7,11457
2016,Sammy Solis,WSN,LEVEL,27,0,0,9,1,0,0,0,0,0,,1,4,1,1,1,1,0,0,0,0,0,1,11457
2012,A.J. Cole,OAK,LEVEL,20,6,3,2.069685641,19,19,0,0,0,0,,95.2,376,78,32,22,7,19,0,4,3,1,102,11467
