Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
2016,Robbie Dickey,WSN,LEVEL,22,1,0,5.684195405,6,0,0,0,0,0,,12.2,60,9,8,8,1,15,0,0,7,0,15,sa828877
2016,Blake Bivens,TBR,LEVEL,20,8,4,2.516129032,16,16,0,0,0,0,,93,382,75,30,26,3,34,0,3,2,0,96,sa828880
2016,Sam Hentges,CLE,LEVEL,19,2,4,6.116025322,14,14,0,0,0,0,,60.1,284,71,49,41,8,29,0,6,10,0,73,sa828881
2015,Jordan Schwartz,OAK,LEVEL,23,0,4,9.081810308,10,8,0,0,0,0,,36.2,191,56,43,37,2,27,0,1,10,1,35,sa828883
2016,Jordan Schwartz,OAK,LEVEL,24,0,1,4.984607632,9,0,0,0,0,2,,21.2,93,20,13,12,2,8,1,3,2,0,14,sa828883
2016,Justin Steele,CHC,LEVEL,20,5,7,5.004312649,19,19,0,0,0,0,,77.1,361,93,57,43,3,39,0,8,7,2,76,sa828960
2015,Josh Prevost,NYM,LEVEL,23,6,4,3.753365026,12,12,1,0,0,0,,74.1,318,79,38,31,3,18,0,5,7,1,46,sa828963
2017,Felix Paulino,PHI,LEVEL,22,5,9,4.530823575,28,15,0,0,0,1,,97.1,415,100,52,49,5,29,1,7,8,1,87,sa828972
2014,Chris Sadberry,MIA,LEVEL,22,4,1,2.647058824,7,6,0,0,0,0,,34,130,22,10,10,3,7,0,0,5,0,29,sa828999
2018,Lane Ratliff,ARI,LEVEL,23,7,2,2.713569296,14,8,0,0,0,1,,66.1,277,69,21,20,2,19,0,5,7,0,59,sa829005
2017,Lane Ratliff,SEA,LEVEL,22,2,2,4.447064112,10,5,0,0,0,0,,28.1,129,35,18,14,4,14,0,0,2,0,21,sa829005
2017,Jeremiah Muhammad,LAD,LEVEL,22,2,1,3.446812217,15,0,0,0,0,0,,31.1,136,18,13,12,1,25,1,1,6,0,48,sa829006
2019,Jake Latz,TEX,LEVEL,23,2,0,0.9,2,2,0,0,0,0,,10,38,5,2,1,0,3,0,0,0,0,14,sa829008
2017,Greg Brody,SFG,LEVEL,25,0,1,5.400013647,11,0,0,0,0,0,,13.1,61,14,10,8,0,2,0,1,1,0,13,sa829011
2017,Weston Davis,WSN,LEVEL,20,4,5,5.87903678,9,9,1,1,0,0,,41.1,180,47,27,27,7,15,0,1,6,1,23,sa829015
2015,David Burkhalter,MIL,LEVEL,19,5,9,4.99009901,28,12,0,0,6,1,,101,429,103,63,56,9,22,0,5,2,1,93,sa829016
2016,David Burkhalter,MIL,LEVEL,20,3,4,3.556884196,12,9,0,0,1,0,,55.2,228,53,26,22,3,8,1,3,0,0,46,sa829016
2017,David Burkhalter,MIL,LEVEL,21,0,4,6.75,10,5,0,0,1,0,,32,143,45,28,24,6,7,0,1,1,0,18,sa829016
2014,Scott Williams,TEX,LEVEL,20,2,1,9,13,0,0,0,0,0,,17,88,21,18,17,1,16,0,0,7,0,14,sa829019
2015,Scott Williams,TEX,LEVEL,21,5,0,2.284617061,29,0,0,0,10,0,,43.1,165,27,11,11,3,15,3,1,3,0,49,sa829019
2018,Spencer Moran,CHW,LEVEL,22,1,3,5.34375,7,7,0,0,0,0,,32,140,29,19,19,2,19,0,2,1,2,24,sa829020
2017,Spencer Moran,TBR,LEVEL,21,1,2,3.702859161,21,7,0,0,1,0,,58.1,260,62,28,24,2,31,0,0,5,0,43,sa829020
2016,Jared Robinson,CLE,LEVEL,21,2,2,5.631018915,18,2,0,0,2,1,,62.1,289,80,40,39,7,21,0,2,8,0,50,sa829022
2016,Gage Hinsz,PIT,LEVEL,20,6,8,3.664287112,17,17,0,0,0,0,,93.1,395,93,39,38,8,25,0,14,7,0,67,sa829024
2016,Luis Gamez,ATL,LEVEL,20,0,0,0,1,0,0,0,0,0,,2,9,0,0,0,0,2,0,1,1,0,3,sa829025
2014,Connor Walsh,CHW,LEVEL,21,1,0,9.449995494,4,0,0,0,0,1,,6.2,31,10,7,7,0,2,0,0,0,0,6,sa829031
2015,Connor Walsh,CHW,LEVEL,22,2,3,4.924528302,29,0,0,0,0,0,,53,251,39,34,29,3,44,0,7,9,0,79,sa829031
2016,Tanner Griggs,CHC,LEVEL,22,2,2,2.670332637,14,0,0,0,0,3,,30.1,122,26,10,9,0,7,0,1,4,1,27,sa829033
2016,Dylan Craig,COL,LEVEL,23,3,1,6.10273574,11,8,0,0,1,0,,48.2,219,57,35,33,7,15,0,8,1,0,33,sa829036
2015,Seth Lucio,SDP,LEVEL,22,4,2,3.188978773,30,0,0,0,0,2,,42.1,184,36,18,15,0,18,1,3,5,0,43,sa829041
2015,Emilio Ogando,KCR,LEVEL,21,5,8,4.191337356,26,4,0,0,0,0,,92.1,420,100,59,43,8,40,1,6,11,0,78,sa829049
2016,Emilio Ogando,KCR,LEVEL,22,7,10,3.798985216,25,20,0,0,0,0,,132.2,557,126,71,56,14,35,0,4,10,0,130,sa829049
2017,Kam Uter,LAD,LEVEL,21,0,0,27.00006679,1,0,0,0,0,0,,1.1,11,2,4,4,1,5,0,0,2,0,2,sa829054
2016,Tyler Willman,OAK,LEVEL,23,1,1,2.907687786,18,0,0,0,3,2,,21.2,108,15,8,7,0,23,0,4,5,0,21,sa829056
2015,Zack Tillery,MIN,LEVEL,22,5,5,3.613381465,28,13,0,0,1,2,,89.2,380,88,37,36,3,30,0,2,8,2,73,sa829060
2016,Zack Tillery,MIN,LEVEL,23,1,1,8.1,6,0,0,0,0,0,,10,49,12,9,9,0,10,0,0,2,0,12,sa829060
2017,Zack Tillery,MIN,LEVEL,24,0,0,6.428571429,6,0,0,0,0,0,,7,40,5,5,5,0,14,0,1,3,0,8,sa829060
2016,Marvin Gorgas,SEA,LEVEL,20,1,0,6.230773802,3,0,0,0,0,1,,4.1,19,4,3,3,1,2,0,0,0,0,5,sa829061
